SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
org.elasticsearch.search.aggregations.PipelineAggregationBuilder	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.script.Script	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.action.support.IndicesOptions	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.action.update.UpdateRequest	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.index.query.QueryBuilder	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.action.ingest.SimulatePipelineRequest	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.action.termvectors.TermVectorsResponse	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.common.settings.Settings	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.search.collapse.CollapseBuilder	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
com.fasterxml.jackson.databind.JsonNode	com.fasterxml.jackson.databind	com.fasterxml.jackson.core.TreeNode	public	com.fasterxml.jackson.core	1
org.elasticsearch.action.bulk.BulkItemResponse$Failure	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
com.fasterxml.jackson.databind.ObjectReader	com.fasterxml.jackson.databind	com.fasterxml.jackson.core.ObjectCodec	public	com.fasterxml.jackson.core	1
org.elasticsearch.search.builder.SearchSourceBuilder	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.ElasticsearchException	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.search.fetch.subphase.highlight.AbstractHighlighterBuilder	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.common.document.DocumentField	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.common.bytes.BytesReference	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.common.unit.ByteSizeValue	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.action.explain.ExplainRequest	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.common.geo.GeoPoint	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.index.Index	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.common.transport.TransportAddress	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.index.query.MoreLikeThisQueryBuilder$Item	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.Version	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.action.admin.cluster.node.tasks.list.ListTasksResponse	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.action.ingest.PutPipelineRequest	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.search.SearchHit$NestedIdentity	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.common.xcontent.StatusToXContentObject	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.index.reindex.ReindexRequest	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.index.query.functionscore.ScoreFunctionBuilder	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.action.search.SearchScrollRequest	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.search.fetch.subphase.FieldAndFormat	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentObject	public	org.elasticsearch.common.xcontent	1
org.elasticsearch.action.admin.cluster.storedscripts.PutStoredScriptRequest	org.elasticsearch:elasticsearch:7.12.1	org.elasticsearch.common.xcontent.ToXContentFragment	public	org.elasticsearch.common.xcontent	1
