Callee Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1::_byte	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	byte	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1::_float	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	float	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1::_long	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	long	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1::_double	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	double	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1::_char	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	char	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1::_short	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	short	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1::_boolean	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	boolean	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1::_long	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	long	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1::_int	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	int	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1::_byte	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	byte	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1::_int	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	int	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1::_boolean	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	boolean	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1::_float	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	float	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1::_double	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	double	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1::_char	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	char	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1::_obj	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldSetterFactoryTest$POJO1	java.lang.Object	false	default	unknownLib	true	2
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1::_short	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	short	false	default	unknownLib	true	1
org.sql2o:sql2o:1.6.0	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1::_obj	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	org.sql2o.reflect.AbstractFieldGetterFactoryTest$POJO1	java.lang.Object	false	default	unknownLib	true	1
