Class Name	Class Visibility	Class Library	Usage	Used In Library
java.lang.annotation.Annotation	public	unknownLib	Class.forName	ognl:ognl:3.1.26
org.unbescape.javascript.JavaScriptEscape	public	org.unbescape:unbescape:1.1.6.RELEASE	method call	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
org.springframework.core.io.ResourceLoader	public	org.springframework:spring-core:5.1.0.RELEASE	cast	org.springframework:spring-beans:5.1.0.RELEASE
org.thymeleaf.messageresolver.AbstractMessageResolver	public	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT	subtyping	org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT
org.thymeleaf.processor.IProcessor	public	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT	cast	org.thymeleaf:thymeleaf-spring5:3.0.12-SNAPSHOT
org.springframework.util.ClassUtils	public	org.springframework:spring-core:5.1.0.RELEASE	method call	org.springframework:spring-expression:5.1.0.RELEASE
org.attoparser.trace.MarkupTraceEvent$AutoOpenElementStartTraceEvent	public	org.attoparser:attoparser:2.0.5.RELEASE	cast	org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT
org.thymeleaf.templateparser.markup.decoupled.DecoupledTemplateLogicBuilderMarkupHandler	public	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT	method call	org.attoparser:attoparser:2.0.5.RELEASE
com.fasterxml.jackson.annotation.JsonIgnoreType	public	com.fasterxml.jackson.core:jackson-annotations:2.11.3	cast	com.fasterxml.jackson.core:jackson-databind:2.11.3
org.springframework.expression.BeanResolver	public	org.springframework:spring-expression:5.1.0.RELEASE	subtyping	org.springframework:spring-context:5.1.0.RELEASE
org.thymeleaf.standard.StandardDialect	public	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT	instantiation	org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT
org.xml.sax.SAXParseException	public	xml-apis:xml-apis:1.4.01	cast	org.springframework:spring-beans:5.1.0.RELEASE
org.unbescape.json.JsonEscape	private	org.unbescape:unbescape:1.1.6.RELEASE	method call	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
org.attoparser.trace.MarkupTraceEvent$StandaloneElementEndTraceEvent	public	org.attoparser:attoparser:2.0.5.RELEASE	method call	org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT
org.springframework.web.context.support.StaticWebApplicationContext	public	org.springframework:spring-web:5.1.0.RELEASE	method call	org.springframework:spring-webmvc:5.1.0.RELEASE
org.springframework.web.util.UriTemplate	public	org.springframework:spring-web:5.1.0.RELEASE	instantiation	org.springframework:spring-webmvc:5.1.0.RELEASE
org.springframework.web.context.support.XmlWebApplicationContext	public	org.springframework:spring-web:5.1.0.RELEASE	method call	org.springframework:spring-core:5.1.0.RELEASE
org.thymeleaf.expression.ExpressionObjects	public	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT	instantiation	org.thymeleaf:thymeleaf-spring5:3.0.12-SNAPSHOT
org.thymeleaf.cache.StandardCacheManager	public	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT	method call	org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT
