Callee Library,Field Name,Declared Class,Actual Class,Field Signature,Static,Visibility,Field Library,Reflective,Count
org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT,org.attoparser.trace.MarkupTraceEvent$EventType::INNER_WHITE_SPACE,org.attoparser.trace.MarkupTraceEvent$EventType,org.attoparser.trace.MarkupTraceEvent$EventType,org.attoparser.trace.MarkupTraceEvent$EventType,true,public,org.attoparser:attoparser:2.0.5.RELEASE,false,2
org.thymeleaf:thymeleaf-spring5:3.0.12-SNAPSHOT,org.springframework.web.reactive.HandlerMapping::URI_TEMPLATE_VARIABLES_ATTRIBUTE,org.springframework.web.reactive.HandlerMapping,org.springframework.web.reactive.HandlerMapping,java.lang.String,true,public,org.springframework:spring-webflux:5.1.0.RELEASE,false,1
org.thymeleaf.extras:thymeleaf-extras-springsecurity5:3.0.5-SNAPSHOT,org.thymeleaf.templatemode.TemplateMode::XML,org.thymeleaf.templatemode.TemplateMode,org.thymeleaf.templatemode.TemplateMode,org.thymeleaf.templatemode.TemplateMode,true,public,org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT,false,1
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.3,com.fasterxml.jackson.databind.jsonFormatVisitors.JsonValueFormat::TIME,com.fasterxml.jackson.databind.jsonFormatVisitors.JsonValueFormat,com.fasterxml.jackson.databind.jsonFormatVisitors.JsonValueFormat,com.fasterxml.jackson.databind.jsonFormatVisitors.JsonValueFormat,true,public,com.fasterxml.jackson.core:jackson-databind:2.11.3,false,1
com.fasterxml.jackson.core:jackson-databind:2.11.3,com.fasterxml.jackson.annotation.JsonInclude$Include::NON_DEFAULT,com.fasterxml.jackson.annotation.JsonInclude$Include,com.fasterxml.jackson.annotation.JsonInclude$Include,com.fasterxml.jackson.annotation.JsonInclude$Include,true,public,com.fasterxml.jackson.core:jackson-annotations:2.11.3,false,2
com.fasterxml.jackson.core:jackson-databind:2.11.3,com.fasterxml.jackson.annotation.JsonProperty$Access::AUTO,com.fasterxml.jackson.annotation.JsonProperty$Access,com.fasterxml.jackson.annotation.JsonProperty$Access,com.fasterxml.jackson.annotation.JsonProperty$Access,true,public,com.fasterxml.jackson.core:jackson-annotations:2.11.3,false,4
com.fasterxml.jackson.core:jackson-databind:2.11.3,com.fasterxml.jackson.annotation.JsonFormat$Shape::BINARY,com.fasterxml.jackson.annotation.JsonFormat$Shape,com.fasterxml.jackson.annotation.JsonFormat$Shape,com.fasterxml.jackson.annotation.JsonFormat$Shape,true,public,com.fasterxml.jackson.core:jackson-annotations:2.11.3,false,1
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.3,com.fasterxml.jackson.annotation.JsonFormat$Feature::ADJUST_DATES_TO_CONTEXT_TIME_ZONE,com.fasterxml.jackson.annotation.JsonFormat$Feature,com.fasterxml.jackson.annotation.JsonFormat$Feature,com.fasterxml.jackson.annotation.JsonFormat$Feature,true,public,com.fasterxml.jackson.core:jackson-annotations:2.11.3,false,1
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.3,com.fasterxml.jackson.databind.DeserializationFeature::READ_DATE_TIMESTAMPS_AS_NANOSECONDS,com.fasterxml.jackson.databind.DeserializationFeature,com.fasterxml.jackson.databind.DeserializationFeature,com.fasterxml.jackson.databind.DeserializationFeature,true,public,com.fasterxml.jackson.core:jackson-databind:2.11.3,false,5
org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT,com.fasterxml.jackson.core.JsonGenerator$Feature::AUTO_CLOSE_TARGET,com.fasterxml.jackson.core.JsonGenerator$Feature,com.fasterxml.jackson.core.JsonGenerator$Feature,com.fasterxml.jackson.core.JsonGenerator$Feature,true,public,com.fasterxml.jackson.core:jackson-core:2.11.3,false,1
com.fasterxml.jackson.core:jackson-databind:2.11.3,com.fasterxml.jackson.annotation.JsonFormat$Shape::ARRAY,com.fasterxml.jackson.annotation.JsonFormat$Shape,com.fasterxml.jackson.annotation.JsonFormat$Shape,com.fasterxml.jackson.annotation.JsonFormat$Shape,true,public,com.fasterxml.jackson.core:jackson-annotations:2.11.3,false,4
org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT,org.attoparser.trace.MarkupTraceEvent$EventType::OPEN_ELEMENT_START,org.attoparser.trace.MarkupTraceEvent$EventType,org.attoparser.trace.MarkupTraceEvent$EventType,org.attoparser.trace.MarkupTraceEvent$EventType,true,public,org.attoparser:attoparser:2.0.5.RELEASE,false,4
