Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT	org.attoparser.trace.MarkupTraceEvent$EventType::INNER_WHITE_SPACE	org.attoparser.trace.MarkupTraceEvent$EventType	org.attoparser.trace.MarkupTraceEvent$EventType	org.attoparser.trace.MarkupTraceEvent$EventType	TRUE	public	org.attoparser:attoparser:2.0.5.RELEASE	FALSE	2
org.thymeleaf:thymeleaf-spring5:3.0.12-SNAPSHOT	org.springframework.web.reactive.HandlerMapping::URI_TEMPLATE_VARIABLES_ATTRIBUTE	org.springframework.web.reactive.HandlerMapping	org.springframework.web.reactive.HandlerMapping	java.lang.String	TRUE	public	org.springframework:spring-webflux:5.1.0.RELEASE	FALSE	1
org.thymeleaf.extras:thymeleaf-extras-springsecurity5:3.0.5-SNAPSHOT	org.thymeleaf.templatemode.TemplateMode::XML	org.thymeleaf.templatemode.TemplateMode	org.thymeleaf.templatemode.TemplateMode	org.thymeleaf.templatemode.TemplateMode	TRUE	public	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT	FALSE	1
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.3	com.fasterxml.jackson.databind.jsonFormatVisitors.JsonValueFormat::TIME	com.fasterxml.jackson.databind.jsonFormatVisitors.JsonValueFormat	com.fasterxml.jackson.databind.jsonFormatVisitors.JsonValueFormat	com.fasterxml.jackson.databind.jsonFormatVisitors.JsonValueFormat	TRUE	public	com.fasterxml.jackson.core:jackson-databind:2.11.3	FALSE	1
com.fasterxml.jackson.core:jackson-databind:2.11.3	com.fasterxml.jackson.annotation.JsonInclude$Include::NON_DEFAULT	com.fasterxml.jackson.annotation.JsonInclude$Include	com.fasterxml.jackson.annotation.JsonInclude$Include	com.fasterxml.jackson.annotation.JsonInclude$Include	TRUE	public	com.fasterxml.jackson.core:jackson-annotations:2.11.3	FALSE	2
com.fasterxml.jackson.core:jackson-databind:2.11.3	com.fasterxml.jackson.annotation.JsonProperty$Access::AUTO	com.fasterxml.jackson.annotation.JsonProperty$Access	com.fasterxml.jackson.annotation.JsonProperty$Access	com.fasterxml.jackson.annotation.JsonProperty$Access	TRUE	public	com.fasterxml.jackson.core:jackson-annotations:2.11.3	FALSE	4
com.fasterxml.jackson.core:jackson-databind:2.11.3	com.fasterxml.jackson.annotation.JsonFormat$Shape::BINARY	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	TRUE	public	com.fasterxml.jackson.core:jackson-annotations:2.11.3	FALSE	1
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.3	com.fasterxml.jackson.annotation.JsonFormat$Feature::ADJUST_DATES_TO_CONTEXT_TIME_ZONE	com.fasterxml.jackson.annotation.JsonFormat$Feature	com.fasterxml.jackson.annotation.JsonFormat$Feature	com.fasterxml.jackson.annotation.JsonFormat$Feature	TRUE	public	com.fasterxml.jackson.core:jackson-annotations:2.11.3	FALSE	1
com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.11.3	com.fasterxml.jackson.databind.DeserializationFeature::READ_DATE_TIMESTAMPS_AS_NANOSECONDS	com.fasterxml.jackson.databind.DeserializationFeature	com.fasterxml.jackson.databind.DeserializationFeature	com.fasterxml.jackson.databind.DeserializationFeature	TRUE	public	com.fasterxml.jackson.core:jackson-databind:2.11.3	FALSE	5
org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT	com.fasterxml.jackson.core.JsonGenerator$Feature::AUTO_CLOSE_TARGET	com.fasterxml.jackson.core.JsonGenerator$Feature	com.fasterxml.jackson.core.JsonGenerator$Feature	com.fasterxml.jackson.core.JsonGenerator$Feature	TRUE	public	com.fasterxml.jackson.core:jackson-core:2.11.3	FALSE	1
com.fasterxml.jackson.core:jackson-databind:2.11.3	com.fasterxml.jackson.annotation.JsonFormat$Shape::ARRAY	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	com.fasterxml.jackson.annotation.JsonFormat$Shape	TRUE	public	com.fasterxml.jackson.core:jackson-annotations:2.11.3	FALSE	4
