Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
ognl.OgnlRuntime::invokeMethodInsideSandbox(Ljava/lang/Object;Ljava/lang/reflect/Method;[Ljava/lang/Object;)Ljava/lang/Object;,ognl:ognl:3.1.26,public,org.thymeleaf.expression.ExecutionInfo::getProcessedTemplateMode()Lorg/thymeleaf/templatemode/TemplateMode;,org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT,org.thymeleaf.expression.ExecutionInfo::getProcessedTemplateMode()Lorg/thymeleaf/templatemode/TemplateMode;,org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT,7,true,false,
org.thymeleaf.spring5.processor.SpringHrefTagProcessor::doProcess(Lorg/thymeleaf/context/ITemplateContext;Lorg/thymeleaf/model/IProcessableElementTag;Lorg/thymeleaf/engine/AttributeName;Ljava/lang/String;Ljava/lang/Object;Lorg/thymeleaf/processor/element/IElementTagStructureHandler;)V,org.thymeleaf:thymeleaf-spring5:3.0.12-SNAPSHOT,public,org.unbescape.html.HtmlEscape::escapeHtml4Xml(Ljava/lang/String;)Ljava/lang/String;,org.unbescape:unbescape:1.1.6.RELEASE,org.unbescape.html.HtmlEscape::escapeHtml4Xml(Ljava/lang/String;)Ljava/lang/String;,org.unbescape:unbescape:1.1.6.RELEASE,364,false,false,
org.thymeleaf.testing.templateengine.testable.TestResult::ok(Ljava/lang/String;Ljava/lang/Throwable;)Lorg/thymeleaf/testing/templateengine/testable/TestResult;,org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT,public,org.thymeleaf.util.Validate::notNull(Ljava/lang/Object;Ljava/lang/String;)V,org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT,org.thymeleaf.util.Validate::notNull(Ljava/lang/Object;Ljava/lang/String;)V,org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT,14149,false,false,
org.thymeleaf.testing.templateengine.context.web.SpringWebProcessingContextBuilder::doAdditionalVariableProcessing(Lorg/thymeleaf/testing/templateengine/testable/ITest;Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;Ljavax/servlet/ServletContext;Ljava/util/Locale;Ljava/util/Map;)V,org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT,public,org.springframework.web.context.request.RequestContextHolder::setRequestAttributes(Lorg/springframework/web/context/request/RequestAttributes;)V,org.springframework:spring-web:5.1.0.RELEASE,org.springframework.web.context.request.RequestContextHolder::setRequestAttributes(Lorg/springframework/web/context/request/RequestAttributes;)V,org.springframework:spring-web:5.1.0.RELEASE,24261,false,false,
org.thymeleaf.testing.templateengine.context.web.SpringWebProcessingContextBuilder::createApplicationContext(Lorg/thymeleaf/testing/templateengine/testable/ITest;Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;Ljavax/servlet/ServletContext;Ljava/util/Locale;Ljava/util/Map;)Lorg/springframework/web/context/WebApplicationContext;,org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT,public,org.springframework.web.context.support.XmlWebApplicationContext::setServletContext(Ljavax/servlet/ServletContext;)V,org.springframework:spring-web:5.1.0.RELEASE,org.springframework.web.context.support.XmlWebApplicationContext::setServletContext(Ljavax/servlet/ServletContext;)V,org.springframework:spring-web:5.1.0.RELEASE,176,false,false,
org.thymeleaf.spring5.processor.SpringValueTagProcessor::setAttributeDefinitions(Lorg/thymeleaf/engine/AttributeDefinitions;)V,org.thymeleaf:thymeleaf-spring5:3.0.12-SNAPSHOT,public,org.thymeleaf.processor.element.MatchingAttributeName::getMatchingAttributeName()Lorg/thymeleaf/engine/AttributeName;,org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT,org.thymeleaf.processor.element.MatchingAttributeName::getMatchingAttributeName()Lorg/thymeleaf/engine/AttributeName;,org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT,56,false,false,
org.springframework.expression.spel.ast.PropertyOrFieldReference::readProperty(Lorg/springframework/expression/TypedValue;Lorg/springframework/expression/EvaluationContext;Ljava/lang/String;)Lorg/springframework/expression/TypedValue;,org.springframework:spring-expression:5.1.0.RELEASE,public,org.springframework.expression.PropertyAccessor::read(Lorg/springframework/expression/EvaluationContext;Ljava/lang/Object;Ljava/lang/String;)Lorg/springframework/expression/TypedValue;,org.springframework:spring-expression:5.1.0.RELEASE,org.springframework.context.expression.MapAccessor::read(Lorg/springframework/expression/EvaluationContext;Ljava/lang/Object;Ljava/lang/String;)Lorg/springframework/expression/TypedValue;,org.springframework:spring-context:5.1.0.RELEASE,32570,false,false,
org.thymeleaf.engine.TemplateManager::parseAndProcessThrottled(Lorg/thymeleaf/TemplateSpec;Lorg/thymeleaf/context/IContext;)Lorg/thymeleaf/engine/ThrottledTemplateProcessor;,org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT,public,org.thymeleaf.cache.ICache::put(Ljava/lang/Object;Ljava/lang/Object;)V,org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT,org.thymeleaf.testing.templateengine.engine.cache.TestCache::put(Ljava/lang/Object;Ljava/lang/Object;)V,org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT,41820,false,false,
com.fasterxml.jackson.databind.ser.std.BeanSerializerBase::createContextual(Lcom/fasterxml/jackson/databind/SerializerProvider;Lcom/fasterxml/jackson/databind/BeanProperty;)Lcom/fasterxml/jackson/databind/JsonSerializer;,com.fasterxml.jackson.core:jackson-databind:2.11.3,public,com.fasterxml.jackson.annotation.JsonFormat$Value::hasShape()Z,com.fasterxml.jackson.core:jackson-annotations:2.11.3,com.fasterxml.jackson.annotation.JsonFormat$Value::hasShape()Z,com.fasterxml.jackson.core:jackson-annotations:2.11.3,16,false,false,
org.thymeleaf.testing.templateengine.context.web.SpringWebProcessingContextBuilder::getConversionService(Lorg/springframework/context/ApplicationContext;)Lorg/springframework/core/convert/ConversionService;,org.thymeleaf:thymeleaf-testing:3.0.5-SNAPSHOT,public,org.springframework.context.ApplicationContext::getBeansOfType(Ljava/lang/Class;)Ljava/util/Map;,org.springframework:spring-context:5.1.0.RELEASE,org.springframework.web.context.support.StaticWebApplicationContext::getBeansOfType(Ljava/lang/Class;)Ljava/util/Map;,org.springframework:spring-web:5.1.0.RELEASE,24278,false,false,
