Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.3	java.lang.reflect.Method	public	org.thymeleaf.templateengine.features.User::getLastName()Ljava/lang/String;		unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.3	java.lang.reflect.Field	private	org.thymeleaf.inline.ScriptInlineTest$SomeObjectB::two	int	unknownLib
org.springframework.util.ReflectionUtils::makeAccessible(Ljava/lang/reflect/Field;)V	org.springframework:spring-core:5.1.0.RELEASE	java.lang.reflect.Field	public	org.thymeleaf.context.WebEngineContext$RequestParameterValues::length	int	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
org.mockito.internal.creation.cglib.CGLIBHacker::setMockitoNamingPolicy(Lorg/mockito/internal/creation/MockitoMethodProxy;)V	org.mockito:mockito-core:1.9.5	java.lang.reflect.Field	default	org.mockito.cglib.proxy.MethodProxy$CreateInfo::namingPolicy	org.mockito.cglib.core.NamingPolicy	org.mockito:mockito-core:1.9.5
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Method	public	org.thymeleaf.standard.expression.RestrictedRequestAccessUtils$RestrictedRequestWrapper::getParameterMap()Ljava/util/Map;		org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Method	public	org.thymeleaf.standard.expression.RestrictedRequestAccessUtils$RestrictedRequestWrapper::getParameterMap()Ljava/util/Map;		org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
org.springframework.util.ReflectionUtils::makeAccessible(Ljava/lang/reflect/Method;)V	org.springframework:spring-core:5.1.0.RELEASE	java.lang.reflect.Method	public	java.util.HashMap$Node::getKey()Ljava/lang/Object;		unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.3	java.lang.reflect.Field	private	org.thymeleaf.inline.ScriptInlineTest$SomeObjectB::one	java.lang.String	unknownLib
org.mockito.internal.creation.cglib.CGLIBHacker::setMockitoNamingPolicy(Lorg/mockito/internal/creation/MockitoMethodProxy;)V	org.mockito:mockito-core:1.9.5	java.lang.reflect.Field	private	org.mockito.cglib.proxy.MethodProxy::createInfo	org.mockito.cglib.proxy.MethodProxy$CreateInfo	org.mockito:mockito-core:1.9.5
org.springframework.util.ReflectionUtils::makeAccessible(Ljava/lang/reflect/Field;)V	org.springframework:spring-core:5.1.0.RELEASE	java.lang.reflect.Field	public	org.thymeleaf.TemplateEngine::TIMER_LOGGER_NAME	java.lang.String	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
ognl.AccessibleObjectHandlerJDK9Plus::instantiateUnsafeInstance(Ljava/lang/Class;)Ljava/lang/Object;	ognl:ognl:3.1.26	java.lang.reflect.Field	private	sun.misc.Unsafe::theUnsafe	sun.misc.Unsafe	unknownLib
ognl.AccessibleObjectHandlerJDK9Plus::instantiateUnsafeInstance(Ljava/lang/Class;)Ljava/lang/Object;	ognl:ognl:3.1.26	java.lang.reflect.Field	private	sun.misc.Unsafe::theUnsafe	sun.misc.Unsafe	unknownLib
org.mockito.cglib.core.ReflectUtils::newInstance(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;)Ljava/lang/Object;	org.mockito:mockito-core:1.9.5	java.lang.reflect.Constructor	public	org.mockito.cglib.core.MethodWrapper$MethodWrapperKey$$KeyFactoryByCGLIB$$2139e083::org.mockito.cglib.core.MethodWrapper$MethodWrapperKey$$KeyFactoryByCGLIB$$2139e083()V		unknownLib
org.objenesis.instantiator.sun.SunReflectionFactoryInstantiator::SunReflectionFactoryInstantiator(Ljava/lang/Class;)V	org.objenesis:objenesis:1.0	java.lang.reflect.Constructor	public	java.lang.Object::java.lang.Object()V		unknownLib
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Method	public	org.thymeleaf.standard.expression.RestrictedRequestAccessUtils$RestrictedRequestWrapper::getParameter(Ljava/lang/String;)Ljava/lang/String;		org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.3	java.lang.reflect.Method	public	org.thymeleaf.templateengine.features.User::getAge()Ljava/lang/Integer;		unknownLib
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Method	public	org.thymeleaf.standard.expression.RestrictedRequestAccessUtils$RestrictedRequestWrapper::getParameter(Ljava/lang/String;)Ljava/lang/String;		org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.3	java.lang.reflect.Field	private	org.thymeleaf.inline.ScriptInlineTest$SomeObjectB::four	boolean	unknownLib
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.3	java.lang.reflect.Method	public	org.thymeleaf.templateengine.features.User::getName()Ljava/lang/String;		unknownLib
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Method	public	org.thymeleaf.standard.expression.RestrictedRequestAccessUtils$RestrictedRequestWrapper::getParameterValues(Ljava/lang/String;)[Ljava/lang/String;		org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Method	public	org.thymeleaf.standard.expression.RestrictedRequestAccessUtils$RestrictedRequestWrapper::getParameterValues(Ljava/lang/String;)[Ljava/lang/String;		org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
org.mockito.cglib.core.ReflectUtils::newInstance(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;)Ljava/lang/Object;	org.mockito:mockito-core:1.9.5	java.lang.reflect.Constructor	public	org.mockito.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$1e94e966::org.mockito.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$1e94e966()V		unknownLib
org.mockito.cglib.core.ReflectUtils::getConstructor(Ljava/lang/Class;[Ljava/lang/Class;)Ljava/lang/reflect/Constructor;	org.mockito:mockito-core:1.9.5	java.lang.reflect.Constructor	public	org.mockito.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$1e94e966::org.mockito.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$1e94e966()V		unknownLib
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Field	public	org.thymeleaf.context.WebEngineContext$RequestParameterValues::length	int	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Method	public	org.thymeleaf.context.WebEngineContext$RequestParameterValues::toString()Ljava/lang/String;		org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Field	public	org.thymeleaf.context.WebEngineContext$RequestParameterValues::length	int	org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
org.mockito.cglib.core.ReflectUtils$2::run()Ljava/lang/Object;	org.mockito:mockito-core:1.9.5	java.lang.reflect.Method	protected	java.lang.ClassLoader::defineClass(Ljava/lang/String;[BIILjava/security/ProtectionDomain;)Ljava/lang/Class;		unknownLib
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Method	public	org.thymeleaf.context.WebEngineContext$RequestParameterValues::toString()Ljava/lang/String;		org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
org.mockito.cglib.core.ReflectUtils::getConstructor(Ljava/lang/Class;[Ljava/lang/Class;)Ljava/lang/reflect/Constructor;	org.mockito:mockito-core:1.9.5	java.lang.reflect.Constructor	public	org.mockito.cglib.core.MethodWrapper$MethodWrapperKey$$KeyFactoryByCGLIB$$2139e083::org.mockito.cglib.core.MethodWrapper$MethodWrapperKey$$KeyFactoryByCGLIB$$2139e083()V		unknownLib
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Method	public	org.thymeleaf.context.WebEngineContext$SessionAttributesMap::size()I		org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
ognl.AccessibleObjectHandlerPreJDK9::setAccessible(Ljava/lang/reflect/AccessibleObject;Z)V	ognl:ognl:3.1.26	java.lang.reflect.Method	public	org.thymeleaf.context.WebEngineContext$SessionAttributesMap::size()I		org.thymeleaf:thymeleaf:3.0.12-SNAPSHOT
com.fasterxml.jackson.databind.util.ClassUtil::checkAndFixAccess(Ljava/lang/reflect/Member;Z)V	com.fasterxml.jackson.core:jackson-databind:2.11.3	java.lang.reflect.Method	public	org.thymeleaf.inline.ScriptInlineTest$SomeObjectA::getOne()Ljava/lang/String;		unknownLib
