Project	Export-Package	Export-Package Uses
org.jsoup:jsoup:1.13.1	org.jsoup	"javax.net.ssl,org.jsoup.nodes,org.jsoup.parser,org.jsoup.safety"
org.jsoup:jsoup:1.13.1	org.jsoup.nodes	"org.jsoup,org.jsoup.parser,org.jsoup.select"
org.jsoup:jsoup:1.13.1	org.jsoup.parser	org.jsoup.nodes
org.jsoup:jsoup:1.13.1	org.jsoup.safety	org.jsoup.nodes
org.jsoup:jsoup:1.13.1	org.jsoup.examples	org.jsoup.nodes
org.jsoup:jsoup:1.13.1	org.jsoup.select	org.jsoup.nodes
org.jsoup:jsoup:1.13.1	org.jsoup.helper	"javax.net.ssl,javax.xml.parsers,org.jsoup,org.jsoup.nodes,org.jsoup.parser,org.jsoup.select,org.w3c.dom"
com.fasterxml.jackson.core:jackson-databind:2.12.3	com.fasterxml.jackson.databind	"com.fasterxml.jackson.annotation,com.fasterxml.jackson.core,com.fasterxml.jackson.core.filter,com.fasterxml.jackson.core.format,com.fasterxml.jackson.core.io,com.fasterxml.jackson.core.type,com.fasterxml.jackson.core.util,com.fasterxml.jackson.databind.annotation,com.fasterxml.jackson.databind.cfg,com.fasterxml.jackson.databind.deser,com.fasterxml.jackson.databind.deser.impl,com.fasterxml.jackson.databind.introspect,com.fasterxml.jackson.databind.jsonFormatVisitors,com.fasterxml.jackson.databind.jsonschema,com.fasterxml.jackson.databind.jsontype,com.fasterxml.jackson.databind.jsontype.impl,com.fasterxml.jackson.databind.node,com.fasterxml.jackson.databind.ser,com.fasterxml.jackson.databind.ser.impl,com.fasterxml.jackson.databind.type,com.fasterxml.jackson.databind.util"
com.fasterxml.jackson.core:jackson-databind:2.12.3	com.fasterxml.jackson.databind.annotation	"com.fasterxml.jackson.annotation,com.fasterxml.jackson.databind,com.fasterxml.jackson.databind.deser,com.fasterxml.jackson.databind.jsontype,com.fasterxml.jackson.databind.ser,com.fasterxml.jackson.databind.util"
com.fasterxml.jackson.core:jackson-databind:2.12.3	com.fasterxml.jackson.databind.cfg	"com.fasterxml.jackson.annotation,com.fasterxml.jackson.core,com.fasterxml.jackson.core.type,com.fasterxml.jackson.databind,com.fasterxml.jackson.databind.deser,com.fasterxml.jackson.databind.introspect,com.fasterxml.jackson.databind.jsontype,com.fasterxml.jackson.databind.node,com.fasterxml.jackson.databind.ser,com.fasterxml.jackson.databind.type,com.fasterxml.jackson.databind.util"
