SPI,SPI Implementations
org.glassfish.jersey.internal.spi.AutoDiscoverable,org.glassfish.jersey.logging.LoggingFeatureAutoDiscoverable::org.glassfish.jersey.core:jersey-common:2.23.2;com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable::com.alibaba:fastjson:1.2.76;com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable::ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
org.javamoney.moneta.spi.LoaderService,org.javamoney.moneta.internal.loader.DefaultLoaderService::org.javamoney.moneta:moneta-core:1.3
javax.xml.stream.XMLInputFactory,com.ctc.wstx.stax.WstxInputFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
javax.xml.parsers.SAXParserFactory,org.apache.xerces.jaxp.SAXParserFactoryImpl::xerces:xercesImpl:2.8.1
javax.ws.rs.ext.MessageBodyWriter,com.alibaba.fastjson.support.jaxrs.FastJsonProvider::com.alibaba:fastjson:1.2.76;com.alibaba.fastjson.support.jaxrs.FastJsonProvider::ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
javax.xml.datatype.DatatypeFactory,org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl::xerces:xercesImpl:2.8.1
javax.money.spi.MonetaryAmountsSingletonQuerySpi,org.javamoney.moneta.internal.DefaultMonetaryAmountsSingletonQuerySpi::org.javamoney.moneta:moneta-core:1.3
javax.money.spi.MonetaryAmountsSingletonSpi,org.javamoney.moneta.internal.DefaultMonetaryAmountsSingletonSpi::org.javamoney.moneta:moneta-core:1.3
javax.servlet.ServletContainerInitializer,org.springframework.web.SpringServletContainerInitializer::org.springframework:spring-web:4.3.7.RELEASE
javax.ws.rs.ext.RuntimeDelegate,org.apache.cxf.jaxrs.impl.RuntimeDelegateImpl::org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2
org.apache.cxf.bus.factory,org.apache.cxf.bus.spring.SpringBusFactory::org.apache.cxf:cxf-core:3.1.2
javax.money.spi.MonetaryAmountFormatProviderSpi,org.javamoney.moneta.internal.format.DefaultAmountFormatProviderSpi::org.javamoney.moneta:moneta-core:1.3
org.codehaus.stax2.validation.XMLValidationSchemaFactory.dtd,com.ctc.wstx.dtd.DTDSchemaFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
javax.xml.validation.SchemaFactory,org.apache.xerces.jaxp.validation.XMLSchemaFactory::xerces:xercesImpl:2.8.1
javax.money.spi.MonetaryCurrenciesSingletonSpi,org.javamoney.moneta.internal.DefaultMonetaryCurrenciesSingletonSpi::org.javamoney.moneta:moneta-core:1.3
javax.ws.rs.ext.Providers,com.alibaba.fastjson.support.jaxrs.FastJsonProvider::com.alibaba:fastjson:1.2.76;com.alibaba.fastjson.support.jaxrs.FastJsonProvider::ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
javax.enterprise.inject.spi.Extension,org.springframework.data.redis.repository.cdi.RedisRepositoryExtension::org.springframework.data:spring-data-redis:1.8.6.RELEASE
org.glassfish.hk2.extension.ServiceLocatorGenerator,org.jvnet.hk2.external.generator.ServiceLocatorGeneratorImpl::org.glassfish.hk2:hk2-locator:2.5.0-b05
org.xml.sax.driver,org.apache.xerces.parsers.SAXParser::xerces:xercesImpl:2.8.1
javax.annotation.processing.Processor,javaslang.match.PatternsProcessor::io.javaslang:javaslang-match:2.0.6
javax.money.spi.CurrencyProviderSpi,org.javamoney.moneta.internal.JDKCurrencyProvider::org.javamoney.moneta:moneta-core:1.3
packageB.baz.CommonInterface,packageB.baz.External::ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
org.codehaus.stax2.validation.XMLValidationSchemaFactory.w3c,com.ctc.wstx.msv.W3CSchemaFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
javax.money.spi.MonetaryAmountFactoryProviderSpi,org.javamoney.moneta.internal.MoneyAmountFactoryProvider::org.javamoney.moneta:moneta-core:1.3
javax.xml.stream.XMLOutputFactory,com.ctc.wstx.stax.WstxOutputFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
org.w3c.dom.DOMImplementationSourceList,org.apache.xerces.dom.DOMXSImplementationSourceImpl::xerces:xercesImpl:2.8.1
org.codehaus.stax2.validation.XMLValidationSchemaFactory.relaxng,com.ctc.wstx.msv.RelaxNGSchemaFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
java.sql.Driver,org.postgresql.Driver::org.postgresql:postgresql:42.2.19
javax.money.spi.RoundingProviderSpi,org.javamoney.moneta.internal.DefaultRoundingProvider::org.javamoney.moneta:moneta-core:1.3
javax.money.spi.ServiceProvider,org.javamoney.moneta.internal.PriorityAwareServiceProvider::org.javamoney.moneta:moneta-core:1.3
javax.xml.parsers.DocumentBuilderFactory,org.apache.xerces.jaxp.DocumentBuilderFactoryImpl::xerces:xercesImpl:2.8.1
org.apache.commons.logging.LogFactory,org.apache.commons.logging.impl.SLF4JLogFactory::org.slf4j:jcl-over-slf4j:1.7.25
javax.xml.stream.XMLEventFactory,com.ctc.wstx.stax.WstxEventFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
javax.ws.rs.ext.MessageBodyReader,com.alibaba.fastjson.support.jaxrs.FastJsonProvider::com.alibaba:fastjson:1.2.76;com.alibaba.fastjson.support.jaxrs.FastJsonProvider::ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
org.glassfish.jersey.internal.spi.AutoDiscoverable,org.glassfish.jersey.logging.LoggingFeatureAutoDiscoverable::org.glassfish.jersey.core:jersey-common:2.23.2;com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable::com.alibaba:fastjson:1.2.76;com.alibaba.fastjson.support.jaxrs.FastJsonAutoDiscoverable::ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
org.javamoney.moneta.spi.LoaderService,org.javamoney.moneta.internal.loader.DefaultLoaderService::org.javamoney.moneta:moneta-core:1.3
javax.xml.stream.XMLInputFactory,com.ctc.wstx.stax.WstxInputFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
javax.xml.parsers.SAXParserFactory,org.apache.xerces.jaxp.SAXParserFactoryImpl::xerces:xercesImpl:2.8.1
javax.ws.rs.ext.MessageBodyWriter,com.alibaba.fastjson.support.jaxrs.FastJsonProvider::com.alibaba:fastjson:1.2.76;com.alibaba.fastjson.support.jaxrs.FastJsonProvider::ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
javax.xml.datatype.DatatypeFactory,org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl::xerces:xercesImpl:2.8.1
javax.money.spi.MonetaryAmountsSingletonQuerySpi,org.javamoney.moneta.internal.DefaultMonetaryAmountsSingletonQuerySpi::org.javamoney.moneta:moneta-core:1.3
javax.money.spi.MonetaryAmountsSingletonSpi,org.javamoney.moneta.internal.DefaultMonetaryAmountsSingletonSpi::org.javamoney.moneta:moneta-core:1.3
javax.servlet.ServletContainerInitializer,org.springframework.web.SpringServletContainerInitializer::org.springframework:spring-web:4.3.7.RELEASE
javax.ws.rs.ext.RuntimeDelegate,org.apache.cxf.jaxrs.impl.RuntimeDelegateImpl::org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2
org.apache.cxf.bus.factory,org.apache.cxf.bus.spring.SpringBusFactory::org.apache.cxf:cxf-core:3.1.2
javax.money.spi.MonetaryAmountFormatProviderSpi,org.javamoney.moneta.internal.format.DefaultAmountFormatProviderSpi::org.javamoney.moneta:moneta-core:1.3
org.codehaus.stax2.validation.XMLValidationSchemaFactory.dtd,com.ctc.wstx.dtd.DTDSchemaFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
javax.xml.validation.SchemaFactory,org.apache.xerces.jaxp.validation.XMLSchemaFactory::xerces:xercesImpl:2.8.1
javax.money.spi.MonetaryCurrenciesSingletonSpi,org.javamoney.moneta.internal.DefaultMonetaryCurrenciesSingletonSpi::org.javamoney.moneta:moneta-core:1.3
javax.ws.rs.ext.Providers,com.alibaba.fastjson.support.jaxrs.FastJsonProvider::com.alibaba:fastjson:1.2.76;com.alibaba.fastjson.support.jaxrs.FastJsonProvider::ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
javax.enterprise.inject.spi.Extension,org.springframework.data.redis.repository.cdi.RedisRepositoryExtension::org.springframework.data:spring-data-redis:1.8.6.RELEASE
org.glassfish.hk2.extension.ServiceLocatorGenerator,org.jvnet.hk2.external.generator.ServiceLocatorGeneratorImpl::org.glassfish.hk2:hk2-locator:2.5.0-b05
org.xml.sax.driver,org.apache.xerces.parsers.SAXParser::xerces:xercesImpl:2.8.1
javax.annotation.processing.Processor,javaslang.match.PatternsProcessor::io.javaslang:javaslang-match:2.0.6
javax.money.spi.CurrencyProviderSpi,org.javamoney.moneta.internal.JDKCurrencyProvider::org.javamoney.moneta:moneta-core:1.3
packageB.baz.CommonInterface,packageB.baz.External::ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
org.codehaus.stax2.validation.XMLValidationSchemaFactory.w3c,com.ctc.wstx.msv.W3CSchemaFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
javax.money.spi.MonetaryAmountFactoryProviderSpi,org.javamoney.moneta.internal.MoneyAmountFactoryProvider::org.javamoney.moneta:moneta-core:1.3
javax.xml.stream.XMLOutputFactory,com.ctc.wstx.stax.WstxOutputFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
org.w3c.dom.DOMImplementationSourceList,org.apache.xerces.dom.DOMXSImplementationSourceImpl::xerces:xercesImpl:2.8.1
org.codehaus.stax2.validation.XMLValidationSchemaFactory.relaxng,com.ctc.wstx.msv.RelaxNGSchemaFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
java.sql.Driver,org.postgresql.Driver::org.postgresql:postgresql:42.2.19
javax.money.spi.RoundingProviderSpi,org.javamoney.moneta.internal.DefaultRoundingProvider::org.javamoney.moneta:moneta-core:1.3
javax.money.spi.ServiceProvider,org.javamoney.moneta.internal.PriorityAwareServiceProvider::org.javamoney.moneta:moneta-core:1.3
javax.xml.parsers.DocumentBuilderFactory,org.apache.xerces.jaxp.DocumentBuilderFactoryImpl::xerces:xercesImpl:2.8.1
org.apache.commons.logging.LogFactory,org.apache.commons.logging.impl.SLF4JLogFactory::org.slf4j:jcl-over-slf4j:1.7.25
javax.xml.stream.XMLEventFactory,com.ctc.wstx.stax.WstxEventFactory::org.codehaus.woodstox:woodstox-core-asl:4.4.1
javax.ws.rs.ext.MessageBodyReader,com.alibaba.fastjson.support.jaxrs.FastJsonProvider::com.alibaba:fastjson:1.2.76;com.alibaba.fastjson.support.jaxrs.FastJsonProvider::ca.waterloo.pl:microbenchmark1-library:1.0-SNAPSHOT
