SPI	SPI Implementations
io.grpc.ServerProvider	io.grpc.netty.NettyServerProvider,io.grpc:grpc-netty:1.14.0
org.apache.hadoop.hbase.regionserver.wal.MetricsEditsReplaySource	org.apache.hadoop.hbase.regionserver.wal.MetricsEditsReplaySourceImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.regionserver.wal.MetricsEditsReplaySource	org.apache.hadoop.hbase.regionserver.wal.MetricsEditsReplaySourceImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.security.alias.CredentialProviderFactory	;org.apache.hadoop:hadoop-common:2.6.0
org.apache.hadoop.security.alias.CredentialProviderFactory	,org.apache.hadoop:hadoop-common:2.6.0
org.apache.hadoop.fs.FileSystem	;org.apache.hadoop:hadoop-hdfs:2.2.0
org.apache.hadoop.fs.FileSystem	;org.apache.hadoop:hadoop-common:2.6.0
org.apache.hadoop.fs.FileSystem	,org.apache.hadoop:hadoop-hdfs:2.2.0
org.apache.hadoop.fs.FileSystem	,org.apache.hadoop:hadoop-common:2.6.0
org/apache/activemq/transport/nio	class=org.apache.activemq.transport.nio.NIOTransportFactory,org.apache.activemq:activemq-client:5.16.0
com.sun.jersey.spi.container.ContainerRequestFilter	com.sun.jersey.server.impl.container.filter.NormalizeFilter,com.sun.jersey:jersey-server:1.9
com.sun.jersey.spi.container.ContainerRequestFilter	com.sun.jersey.server.impl.container.filter.NormalizeFilter;com.sun.jersey:jersey-server:1.9
javax.xml.datatype.DatatypeFactory	org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl,xerces:xercesImpl:2.8.1
javax.xml.datatype.DatatypeFactory	org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl;xerces:xercesImpl:2.10.0
javax.xml.datatype.DatatypeFactory	org.apache.xerces.jaxp.datatype.DatatypeFactoryImpl;xerces:xercesImpl:2.8.1
org/apache/activemq/transport/ssl	class=org.apache.activemq.transport.tcp.SslTransportFactory,org.apache.activemq:activemq-client:5.16.0
com.linecorp.armeria.common.SerializationFormatProvider	com.linecorp.armeria.internal.common.thrift.ThriftSerializationFormatProvider,com.linecorp.armeria:armeria-thrift0.13:1.3.0
javax.ws.rs.ext.RuntimeDelegate	com.sun.jersey.server.impl.provider.RuntimeDelegateImpl;com.sun.jersey:jersey-server:1.9
javax.ws.rs.ext.RuntimeDelegate	org.glassfish.jersey.server.internal.RuntimeDelegateImpl,org.glassfish.jersey.core:jersey-server:2.25.1
javax.ws.rs.ext.RuntimeDelegate	org.apache.cxf.jaxrs.impl.RuntimeDelegateImpl;org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2
javax.ws.rs.ext.RuntimeDelegate	org.apache.cxf.jaxrs.impl.RuntimeDelegateImpl,org.apache.cxf:cxf-rt-frontend-jaxrs:3.1.2
javax.ws.rs.ext.RuntimeDelegate	com.sun.jersey.server.impl.provider.RuntimeDelegateImpl,com.sun.jersey:jersey-server:1.9
javax.ws.rs.ext.RuntimeDelegate	org.glassfish.jersey.server.internal.RuntimeDelegateImpl;org.glassfish.jersey.core:jersey-server:2.25.1
org.hibernate.boot.registry.selector.StrategyRegistrationProvider	org.hibernate.c3p0.internal.StrategyRegistrationProviderImpl;org.hibernate:hibernate-c3p0:5.1.0.Final
org.hibernate.boot.registry.selector.StrategyRegistrationProvider	org.hibernate.c3p0.internal.StrategyRegistrationProviderImpl,org.hibernate:hibernate-c3p0:5.1.0.Final
org/apache/activemq/transport/discoveryagent/masterslave	class=org.apache.activemq.transport.discovery.masterslave.MasterSlaveDiscoveryAgentFactory,org.apache.activemq:activemq-client:5.16.0
org/apache/activemq/wireformat/	null,org.apache.activemq:activemq-client:5.16.0
org.jboss.shrinkwrap.resolver.api.maven.archive.MavenArchiveResolverSystem	org.jboss.shrinkwrap.resolver.impl.maven.archive.MavenArchiveResolverSystemImpl,org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven-archive:2.2.6
org.xnio.XnioProvider	;org.jboss.xnio:xnio-nio:3.3.8.Final
org.xnio.XnioProvider	,org.jboss.xnio:xnio-nio:3.3.4.Final
org.jboss.shrinkwrap.resolver.api.maven.archive.ConfigurableMavenArchiveResolverSystem	org.jboss.shrinkwrap.resolver.impl.maven.archive.ConfigurableMavenArchiveResolverSystemImpl,org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven-archive:2.2.6
org.xmlpull.v1.XmlPullParser	io.github.xstream.mxparser.MXParser,io.github.x-stream:mxparser:1.2.1
org.elasticsearch.common.xcontent.XContentBuilderExtension	org.elasticsearch.common.xcontent.XContentElasticsearchExtension;org.elasticsearch:elasticsearch:7.12.1
com.sun.tools.internal.xjc.Plugin	com.sun.tools.internal.xjc.addon.code_injector.PluginImpl,com.sun:tools:1.8
com.sun.tools.internal.xjc.Plugin	com.sun.tools.internal.xjc.addon.code_injector.PluginImpl;com.sun:tools:1.8.0
com.sun.tools.internal.xjc.Plugin	com.sun.tools.internal.xjc.addon.code_injector.PluginImpl,com.alibaba:tools:1.8.0
com.sun.tools.internal.xjc.Plugin	com.sun.tools.internal.xjc.addon.code_injector.PluginImpl;com.sun:tools:1.8
com.sun.tools.internal.xjc.Plugin	com.sun.tools.internal.xjc.addon.code_injector.PluginImpl;com.alibaba:tools:1.8.0
javax.management.remote.JMXConnectorProvider	org.jboss.remotingjmx.RemotingConnectorProvider,org.jboss.remotingjmx:remoting-jmx:2.0.1.Final
org.jboss.shrinkwrap.api.exporter.ZipStoredExporter	implementingClassName=org.jboss.shrinkwrap.impl.base.exporter.zip.ZipStoredExporterImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
javax.enterprise.inject.spi.Extension	org.springframework.data.elasticsearch.repository.cdi.ElasticsearchRepositoryExtension;org.springframework.data:spring-data-elasticsearch:4.2.5
javax.enterprise.inject.spi.Extension	org.springframework.data.redis.repository.cdi.RedisRepositoryExtension,org.springframework.data:spring-data-redis:1.8.6.RELEASE
javax.enterprise.inject.spi.Extension	org.hibernate.validator.internal.cdi.ValidationExtension;org.hibernate:hibernate-validator-cdi:5.1.0.Final
javax.enterprise.inject.spi.Extension	com.sun.jersey.server.impl.cdi.CDIExtension,com.sun.jersey:jersey-server:1.9
javax.enterprise.inject.spi.Extension	org.apache.bval.cdi.BValExtension,org.apache.bval:bval-jsr:2.0.5
javax.enterprise.inject.spi.Extension	org.jboss.weld.environment.se.WeldSEBeanRegistrant;org.jboss.weld.se:weld-se-core:2.1.2.Final
javax.enterprise.inject.spi.Extension	org.springframework.data.redis.repository.cdi.RedisRepositoryExtension;org.springframework.data:spring-data-redis:1.8.6.RELEASE
javax.enterprise.inject.spi.Extension	org.springframework.data.redis.repository.cdi.RedisRepositoryExtension;org.springframework.data:spring-data-redis:2.1.11.RELEASE
javax.enterprise.inject.spi.Extension	com.sun.jersey.server.impl.cdi.CDIExtension,com.sun.jersey:jersey-servlet:1.19
javax.enterprise.inject.spi.Extension	com.sun.jersey.server.impl.cdi.CDIExtension;com.sun.jersey:jersey-servlet:1.19
javax.enterprise.inject.spi.Extension	org.apache.myfaces.cdi.view.ViewScopeContextExtension,org.apache.myfaces.core:myfaces-impl:2.2.9
javax.enterprise.inject.spi.Extension	com.sun.jersey.server.impl.cdi.CDIExtension;com.sun.jersey:jersey-server:1.9
javax.enterprise.inject.spi.Extension	io.lettuce.core.support.LettuceCdiExtension;io.lettuce:lettuce-core:5.1.8.RELEASE
javax.enterprise.inject.spi.Extension	null;br.com.caelum:vraptor:4.2.2
javax.enterprise.inject.spi.Extension	org.springframework.data.mongodb.repository.cdi.MongoRepositoryExtension;org.springframework.data:spring-data-mongodb:1.8.0.RELEASE
org.cryptomator.cryptolib.api.CryptorProvider	org.cryptomator.cryptolib.v1.CryptorProviderImpl,org.cryptomator:cryptolib:2.1.0-SNAPSHOT
javax.money.spi.CurrencyProviderSpi	org.javamoney.moneta.internal.JDKCurrencyProvider;org.javamoney.moneta:moneta-core:1.3
javax.money.spi.CurrencyProviderSpi	org.javamoney.moneta.internal.JDKCurrencyProvider,org.javamoney.moneta:moneta-core:1.3
javax.cache.spi.CachingProvider	org.ehcache.jsr107.EhcacheCachingProvider;org.ehcache:ehcache:3.3.1
javax.cache.spi.CachingProvider	org.ehcache.jsr107.EhcacheCachingProvider,org.ehcache:ehcache:3.3.1
org.apache.myfaces.spi.InjectionProvider	org.apache.myfaces.spi.impl.CDIAnnotationDelegateInjectionProvider,org.apache.myfaces.core:myfaces-impl:2.2.9
org.w3c.dom.DOMImplementationSourceList	org.apache.xerces.dom.DOMXSImplementationSourceImpl;xerces:xercesImpl:2.8.1
org.w3c.dom.DOMImplementationSourceList	org.apache.xerces.dom.DOMXSImplementationSourceImpl;xerces:xercesImpl:2.10.0
org.w3c.dom.DOMImplementationSourceList	org.apache.xerces.dom.DOMXSImplementationSourceImpl,xerces:xercesImpl:2.8.1
org/apache/activemq/transport/tcp	class=org.apache.activemq.transport.tcp.TcpTransportFactory,org.apache.activemq:activemq-client:5.16.0
org.apache.hadoop.hbase.rest.MetricsRESTSource	org.apache.hadoop.hbase.rest.MetricsRESTSourceImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.rest.MetricsRESTSource	org.apache.hadoop.hbase.rest.MetricsRESTSourceImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.xmlpull.v1.XmlPullParserFactory	io.github.xstream.mxparser.MXParser,io.github.x-stream:mxparser:1.2.1
org.xmlpull.v1.XmlPullParserFactory	org.xmlpull.mxp1.MXParser
org.jboss.shrinkwrap.api.spec.JavaArchive	implementingClassName=org.jboss.shrinkwrap.impl.base.spec.JavaArchiveImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.apache.hadoop.hbase.master.MetricsMasterQuotaSource	org.apache.hadoop.hbase.master.MetricsMasterQuotaSourceImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.master.MetricsMasterQuotaSource	org.apache.hadoop.hbase.master.MetricsMasterQuotaSourceImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
javax.money.spi.ServiceProvider	org.javamoney.moneta.internal.PriorityAwareServiceProvider;org.javamoney.moneta:moneta-core:1.3
javax.money.spi.ServiceProvider	org.javamoney.moneta.internal.PriorityAwareServiceProvider,org.javamoney.moneta:moneta-core:1.3
javax.xml.parsers.DocumentBuilderFactory	org.apache.xerces.jaxp.DocumentBuilderFactoryImpl,xerces:xercesImpl:2.8.1
javax.xml.parsers.DocumentBuilderFactory	org.apache.xerces.jaxp.DocumentBuilderFactoryImpl;xerces:xercesImpl:2.8.1
javax.xml.parsers.DocumentBuilderFactory	org.apache.xerces.jaxp.DocumentBuilderFactoryImpl;xerces:xercesImpl:2.10.0
org.apache.lucene.codecs.PostingsFormat	,org.apache.lucene:lucene-core:8.5.2
org.apache.lucene.codecs.PostingsFormat	,org.apache.lucene:lucene-core:8.10.1
org.apache.lucene.codecs.PostingsFormat	,org.apache.lucene:lucene-sandbox:8.10.1
org.apache.lucene.codecs.PostingsFormat	org.apache.lucene.search.suggest.document.Completion50PostingsFormat;org.elasticsearch:elasticsearch:7.12.1
org.apache.lucene.codecs.PostingsFormat	,org.apache.lucene:lucene-sandbox:8.5.2
org.apache.hadoop.hbase.master.MetricsMasterProcSourceFactory	org.apache.hadoop.hbase.master.MetricsMasterProcSourceFactoryImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.master.MetricsMasterProcSourceFactory	org.apache.hadoop.hbase.master.MetricsMasterProcSourceFactoryImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.owasp.dependencycheck.analyzer.Analyzer	org.owasp.dependencycheck.analyzer.ArchiveAnalyzer,org.owasp:dependency-check-core:6.4.2-SNAPSHOT
org.elasticsearch.common.xcontent.ErrorOnUnknown	org.elasticsearch.common.xcontent.SuggestingErrorOnUnknown;org.elasticsearch:elasticsearch:7.12.1
javax.xml.transform.URIResolver	org.apache.xmlgraphics.util.uri.DataURIResolver,org.apache.xmlgraphics:xmlgraphics-commons:1.5
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper,org.apache.kylin:kylin-jdbc:2.0.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.12.2
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.12.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.13.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.10.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.core:jackson-databind:2.11.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.8.6
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;org.apache.kylin:kylin-jdbc:2.0.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.9.10.7
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.9.9.3
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.12.4
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.12.3
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.12.5
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.9.10.3
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.11.1
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.11.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.dataformat.yaml.YAMLMapper,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.10.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.11.3
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.10.3
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.dataformat.yaml.YAMLMapper;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.10.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.10.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;org.apache.htrace:htrace-core4:4.1.0-incubating
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;org.apache.htrace:htrace-core:3.2.0-incubating
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper,org.apache.htrace:htrace-core:3.2.0-incubating
javax.jdo.JDOEnhancer	org.datanucleus.api.jdo.JDOEnhancer,org.datanucleus:datanucleus-api-jdo:4.2.4
javax.jdo.JDOEnhancer	org.datanucleus.api.jdo.JDOEnhancer;org.datanucleus:datanucleus-api-jdo:4.2.4
javax.money.spi.MonetaryAmountsSingletonSpi	org.javamoney.moneta.internal.DefaultMonetaryAmountsSingletonSpi,org.javamoney.moneta:moneta-core:1.3
javax.money.spi.MonetaryAmountsSingletonSpi	org.javamoney.moneta.internal.DefaultMonetaryAmountsSingletonSpi;org.javamoney.moneta:moneta-core:1.3
lombok.javac.handlers.JavacSingularsRecipes$JavacSingularizer	lombok.javac.handlers.singulars.JavacGuavaMapSingularizer;org.projectlombok:lombok:1.16.10
lombok.javac.handlers.JavacSingularsRecipes$JavacSingularizer	lombok.javac.handlers.singulars.JavacGuavaMapSingularizer;org.projectlombok:lombok:1.18.8
org.jboss.shrinkwrap.api.exporter.TarBz2Exporter	implementingClassName=org.jboss.shrinkwrap.impl.base.exporter.tar.TarBz2ExporterImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.apache.hadoop.hbase.metrics.MetricRegistries	org.apache.hadoop.hbase.metrics.impl.MetricRegistriesImpl,org.apache.hbase:hbase-metrics:2.0.0-alpha4
org.apache.hadoop.hbase.metrics.MetricRegistries	org.apache.hadoop.hbase.metrics.impl.MetricRegistriesImpl;org.apache.hbase:hbase-metrics:2.0.0-alpha4
org.jboss.shrinkwrap.resolver.api.maven.archive.importer.MavenImporter	implementingClassName=org.jboss.shrinkwrap.resolver.impl.maven.archive.importer.MavenImporterImpl,org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven-archive:2.2.6
org.apache.hadoop.hbase.master.MetricsSnapshotSource	org.apache.hadoop.hbase.master.MetricsSnapshotSourceImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.master.MetricsSnapshotSource	org.apache.hadoop.hbase.master.MetricsSnapshotSourceImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
