Class,Method,Field Name:Field Signature,Annotated In Library,Annotation,Annotation Visibility,Annotation Library,Count
com.google.common.math.MathPreconditions,-,-,com.google.guava:guava:30.0-jre,com.google.errorprone.annotations.CanIgnoreReturnValue,public,com.google.errorprone:error_prone_annotations:2.3.4,1
tech.tablesaw.filtering.DateAndDateTimeFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.io.csv.CsvReader,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.filtering.TimeAndDateTimeFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.filtering.NumberFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.filtering.StringFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.columns.datetimes.DateTimeColumnFormatter,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.filtering.FilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.table.Rows,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.filtering.DeferredBooleanColumn,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.filtering.DateTimeFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.io.fixed.FixedWidthWriter,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.columns.times.TimeColumnFormatter,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.io.TypeUtils,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.filtering.InstantFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.filtering.DeferredColumn,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.io.fixed.FixedWidthReader,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
com.google.common.collect.ImmutableCollection$Builder,-,-,com.google.guava:guava:30.0-jre,com.google.errorprone.annotations.DoNotMock,public,com.google.errorprone:error_prone_annotations:2.3.4,1
com.google.common.collect.ImmutableMap$Builder,-,-,com.google.guava:guava:30.0-jre,com.google.errorprone.annotations.DoNotMock,public,com.google.errorprone:error_prone_annotations:2.3.4,1
tech.tablesaw.columns.dates.DateColumnFormatter,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.io.csv.CsvWriter,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.filtering.BooleanFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.columns.instant.InstantColumnFormatter,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.filtering.Not,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.filtering.Or,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
com.google.common.collect.ImmutableMultimap$Builder,-,-,com.google.guava:guava:30.0-jre,com.google.errorprone.annotations.DoNotMock,public,com.google.errorprone:error_prone_annotations:2.3.4,1
tech.tablesaw.filtering.And,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
