Class Name,Class Visibility,Class Library,Usage,Used In Library
com.univocity.parsers.csv.CsvWriter,public,com.univocity:univocity-parsers:2.8.4,instantiation,tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.floats.FloatArrayList,public,it.unimi.dsi:fastutil:8.3.0,method call,tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.ints.IntArrayList,public,it.unimi.dsi:fastutil:8.3.0,instantiation,tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.doubles.DoubleOpenHashSet,public,it.unimi.dsi:fastutil:8.3.0,method call,tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.doubles.DoubleArrayList,public,it.unimi.dsi:fastutil:8.3.0,method call,tech.tablesaw:tablesaw-core:0.38.5
com.univocity.parsers.csv.CsvWriterSettings,public,com.univocity:univocity-parsers:2.8.4,method call,tech.tablesaw:tablesaw-core:0.38.5
com.univocity.parsers.csv.CsvParser,public,com.univocity:univocity-parsers:2.8.4,method call,tech.tablesaw:tablesaw-core:0.38.5
com.ibm.icu.text.CharsetDetector,public,com.ibm.icu:icu4j:65.1,method call,tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.ints.IntArrayList$1,default,it.unimi.dsi:fastutil:8.3.0,method call,tech.tablesaw:tablesaw-core:0.38.5
org.apache.commons.math3.stat.descriptive.moment.Kurtosis,public,org.apache.commons:commons-math3:3.6.1,method call,tech.tablesaw:tablesaw-core:0.38.5
com.univocity.parsers.fixed.FixedWidthFields,public,com.univocity:univocity-parsers:2.8.4,method call,tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.shorts.ShortOpenHashSet,public,it.unimi.dsi:fastutil:8.3.0,instantiation,tech.tablesaw:tablesaw-core:0.38.5
com.google.common.base.Objects,default,com.google.guava:guava:30.0-jre,method call,tech.tablesaw:tablesaw-core:0.38.5
com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,annotation,tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.bytes.Byte2IntOpenHashMap,public,it.unimi.dsi:fastutil:8.3.0,method call,tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.ints.Int2ObjectOpenHashMap,public,it.unimi.dsi:fastutil:8.3.0,instantiation,tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.ints.IntOpenHashSet,public,it.unimi.dsi:fastutil:8.3.0,instantiation,tech.tablesaw:tablesaw-core:0.38.5
com.google.common.collect.ImmutableMap$Builder,public,com.google.guava:guava:30.0-jre,instantiation,tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.longs.LongRBTreeSet,public,it.unimi.dsi:fastutil:8.3.0,instantiation,tech.tablesaw:tablesaw-core:0.38.5
io.github.classgraph.ClassGraph,public,io.github.classgraph:classgraph:4.8.60,instantiation,tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.selection.BitmapBackedSelection$1,default,tech.tablesaw:tablesaw-core:0.38.5,method call,it.unimi.dsi:fastutil:8.3.0
