Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
tech.tablesaw.api.ShortColumn::countUnique()I	tech.tablesaw:tablesaw-core:0.38.5	public	it.unimi.dsi.fastutil.shorts.ShortSet::size()I	it.unimi.dsi:fastutil:8.3.0	it.unimi.dsi.fastutil.shorts.ShortOpenHashSet::size()I	it.unimi.dsi:fastutil:8.3.0	1	false	false	
tech.tablesaw.io.fixed.FixedWidthReader::fixedWidthFormat(Ltech/tablesaw/io/fixed/FixedWidthReadOptions;)Lcom/univocity/parsers/fixed/FixedWidthFormat;	tech.tablesaw:tablesaw-core:0.38.5	public	com.univocity.parsers.fixed.FixedWidthFormat::setLineSeparator(Ljava/lang/String;)V	com.univocity:univocity-parsers:2.8.4	com.univocity.parsers.fixed.FixedWidthFormat::setLineSeparator(Ljava/lang/String;)V	com.univocity:univocity-parsers:2.8.4	11	false	false	
tech.tablesaw.table.Relation::removeColumns([I)Ltech/tablesaw/table/Relation;	tech.tablesaw:tablesaw-core:0.38.5	public	it.unimi.dsi.fastutil.ints.IntArrays::quickSort([ILit/unimi/dsi/fastutil/ints/IntComparator;)V	it.unimi.dsi:fastutil:8.3.0	it.unimi.dsi.fastutil.ints.IntArrays::quickSort([ILit/unimi/dsi/fastutil/ints/IntComparator;)V	it.unimi.dsi:fastutil:8.3.0	3	false	false	
tech.tablesaw.api.ShortColumn::getInt(I)I	tech.tablesaw:tablesaw-core:0.38.5	public	it.unimi.dsi.fastutil.shorts.ShortArrayList::getShort(I)S	it.unimi.dsi:fastutil:8.3.0	it.unimi.dsi.fastutil.shorts.ShortArrayList::getShort(I)S	it.unimi.dsi:fastutil:8.3.0	12	false	false	
tech.tablesaw.api.DateColumn::min()Ljava/time/LocalDate;	tech.tablesaw:tablesaw-core:0.38.5	public	it.unimi.dsi.fastutil.ints.IntArrayList::iterator()Lit/unimi/dsi/fastutil/ints/IntListIterator;	it.unimi.dsi:fastutil:8.3.0	it.unimi.dsi.fastutil.ints.IntArrayList::iterator()Lit/unimi/dsi/fastutil/ints/IntListIterator;	it.unimi.dsi:fastutil:8.3.0	4	false	false	
tech.tablesaw.selection.BitmapBackedSelection::or(Ltech/tablesaw/selection/Selection;)Ltech/tablesaw/selection/Selection;	tech.tablesaw:tablesaw-core:0.38.5	public	org.roaringbitmap.RoaringBitmap::or(Lorg/roaringbitmap/RoaringBitmap;)V	org.roaringbitmap:RoaringBitmap:0.8.12	org.roaringbitmap.RoaringBitmap::or(Lorg/roaringbitmap/RoaringBitmap;)V	org.roaringbitmap:RoaringBitmap:0.8.12	5002	false	false	
tech.tablesaw.api.FloatColumn::append(F)Ltech/tablesaw/api/FloatColumn;	tech.tablesaw:tablesaw-core:0.38.5	public	it.unimi.dsi.fastutil.floats.FloatArrayList::add(F)Z	it.unimi.dsi:fastutil:8.3.0	it.unimi.dsi.fastutil.floats.FloatArrayList::add(F)Z	it.unimi.dsi:fastutil:8.3.0	36	false	false	
tech.tablesaw.columns.numbers.FloatParser::FloatParser(Ltech/tablesaw/columns/numbers/FloatColumnType;Ltech/tablesaw/io/ReadOptions;)V	tech.tablesaw:tablesaw-core:0.38.5	public	com.google.common.collect.Lists::newArrayList([Ljava/lang/Object;)Ljava/util/ArrayList;	com.google.guava:guava:30.0-jre	com.google.common.collect.Lists::newArrayList([Ljava/lang/Object;)Ljava/util/ArrayList;	com.google.guava:guava:30.0-jre	5	false	false	
tech.tablesaw.io.FileReader::getColumnTypes(Ljava/io/Reader;Ltech/tablesaw/io/ReadOptions;ILcom/univocity/parsers/common/AbstractParser;[Ljava/lang/String;)[Ltech/tablesaw/api/ColumnType;	tech.tablesaw:tablesaw-core:0.38.5	public	com.univocity.parsers.common.AbstractParser::beginParsing(Ljava/io/Reader;)V	com.univocity:univocity-parsers:2.8.4	com.univocity.parsers.fixed.FixedWidthParser::beginParsing(Ljava/io/Reader;)V	com.univocity:univocity-parsers:2.8.4	4	false	false	
tech.tablesaw.io.fixed.FixedWidthWriter::fixedWidthFormat(Ltech/tablesaw/io/fixed/FixedWidthWriteOptions;)Lcom/univocity/parsers/fixed/FixedWidthFormat;	tech.tablesaw:tablesaw-core:0.38.5	public	com.univocity.parsers.fixed.FixedWidthFormat::setPadding(C)V	com.univocity:univocity-parsers:2.8.4	com.univocity.parsers.fixed.FixedWidthFormat::setPadding(C)V	com.univocity:univocity-parsers:2.8.4	6	false	false	
tech.tablesaw.api.DateTimeColumn::longIterator()Lit/unimi/dsi/fastutil/longs/LongIterator;	tech.tablesaw:tablesaw-core:0.38.5	public	it.unimi.dsi.fastutil.longs.LongArrayList::iterator()Lit/unimi/dsi/fastutil/longs/LongListIterator;	it.unimi.dsi:fastutil:8.3.0	it.unimi.dsi.fastutil.longs.LongArrayList::iterator()Lit/unimi/dsi/fastutil/longs/LongListIterator;	it.unimi.dsi:fastutil:8.3.0	3	false	false	
tech.tablesaw.joining.DataFrameJoiner::emptyTableFromColumns(Ltech/tablesaw/api/Table;Ltech/tablesaw/api/Table;Ltech/tablesaw/api/Table;Ltech/tablesaw/joining/DataFrameJoiner$JoinType;ZLjava/util/List;Z)Ljava/util/Set;	tech.tablesaw:tablesaw-core:0.38.5	public	com.google.common.collect.Streams::concat([Ljava/util/stream/Stream;)Ljava/util/stream/Stream;	com.google.guava:guava:30.0-jre	com.google.common.collect.Streams::concat([Ljava/util/stream/Stream;)Ljava/util/stream/Stream;	com.google.guava:guava:30.0-jre	3	false	false	
tech.tablesaw.selection.BitmapBackedSelection::toBitmap(Ltech/tablesaw/selection/Selection;)Lorg/roaringbitmap/RoaringBitmap;	tech.tablesaw:tablesaw-core:0.38.5	public	org.roaringbitmap.RoaringBitmap::clone()Lorg/roaringbitmap/RoaringBitmap;	org.roaringbitmap:RoaringBitmap:0.8.12	org.roaringbitmap.RoaringBitmap::clone()Lorg/roaringbitmap/RoaringBitmap;	org.roaringbitmap:RoaringBitmap:0.8.12	13073	false	false	
tech.tablesaw.api.BooleanColumn::countFalse()I	tech.tablesaw:tablesaw-core:0.38.5	public	it.unimi.dsi.fastutil.bytes.ByteArrayList::iterator()Lit/unimi/dsi/fastutil/bytes/ByteListIterator;	it.unimi.dsi:fastutil:8.3.0	it.unimi.dsi.fastutil.bytes.ByteArrayList::iterator()Lit/unimi/dsi/fastutil/bytes/ByteListIterator;	it.unimi.dsi:fastutil:8.3.0	1	false	false	
java.lang.StackStreamFactory$StackFrameTraverser::forEachRemaining	unknownLib	public		unknownLib	interface java.lang.StackWalker$StackFrame::getDeclaringClass()Ljava/lang/Class;	unknownLib	77	false	true	
tech.tablesaw.api.DateTimeColumn::size()I	tech.tablesaw:tablesaw-core:0.38.5	public	it.unimi.dsi.fastutil.longs.LongArrayList::size()I	it.unimi.dsi:fastutil:8.3.0	it.unimi.dsi.fastutil.longs.LongArrayList::size()I	it.unimi.dsi:fastutil:8.3.0	992	false	false	
tech.tablesaw.api.IntColumn::set(ILtech/tablesaw/columns/Column;I)Ltech/tablesaw/api/IntColumn;	tech.tablesaw:tablesaw-core:0.38.5	public	com.google.common.base.Preconditions::checkArgument(Z)V	com.google.guava:guava:30.0-jre	com.google.common.base.Preconditions::checkArgument(Z)V	com.google.guava:guava:30.0-jre	174	false	false	
