Caller Method,Caller Library,setAccessible Called On,Visibility,Callee Name,Field Signature,Callee Library
nonapi.io.github.classgraph.utils.FileUtils::lookupCleanMethodPrivileged()V,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,sun.misc.Unsafe::invokeCleaner(Ljava/nio/ByteBuffer;)V,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.ModuleLayer::boot()Ljava/lang/ModuleLayer;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.module.ResolvedModule::reference()Ljava/lang/module/ModuleReference;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.Class::getModule()Ljava/lang/Module;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.module.ModuleDescriptor::rawVersion()Ljava/util/Optional;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.module.ModuleReference::descriptor()Ljava/lang/module/ModuleDescriptor;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.ModuleLayer::findLoader(Ljava/lang/String;)Ljava/lang/ClassLoader;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.util.Optional::get()Ljava/lang/Object;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.util.Optional::isPresent()Z,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.ModuleLayer::configuration()Ljava/lang/module/Configuration;,,unknownLib
nonapi.io.github.classgraph.utils.FileUtils::lookupCleanMethodPrivileged()V,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Field,private,sun.misc.Unsafe::theUnsafe,sun.misc.Unsafe,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.module.ModuleDescriptor::name()Ljava/lang/String;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.Module::getLayer()Ljava/lang/ModuleLayer;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.module.Configuration::modules()Ljava/util/Set;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.ModuleLayer::parents()Ljava/util/List;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.module.ModuleDescriptor::packages()Ljava/util/Set;,,unknownLib
nonapi.io.github.classgraph.utils.ReflectionUtils::invokeMethod(Ljava/lang/Class;Ljava/lang/Object;Ljava/lang/String;ZLjava/lang/Class;Ljava/lang/Object;Z)Ljava/lang/Object;,io.github.classgraph:classgraph:4.8.60,java.lang.reflect.Method,public,java.lang.module.ModuleReference::location()Ljava/util/Optional;,,unknownLib
