Class,Method,Field Name:Field Signature,Annotated In Library,Annotation,Annotation Visibility,Annotation Library,Count
tech.tablesaw.io.TypeUtils,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.filtering.InstantFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.filtering.DateAndDateTimeFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.io.csv.CsvReader,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.io.fixed.FixedWidthReader,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.filtering.NumberFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.filtering.TimeAndDateTimeFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.io.csv.CsvWriter,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
tech.tablesaw.filtering.StringFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.filtering.BooleanFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.filtering.FilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.filtering.DateTimeFilterSpec,-,-,tech.tablesaw:tablesaw-core:0.38.5,com.google.common.annotations.Beta,public,com.google.guava:guava:30.0-jre,1
tech.tablesaw.io.fixed.FixedWidthWriter,-,-,tech.tablesaw:tablesaw-core:0.38.5,javax.annotation.concurrent.Immutable,public,com.google.code.findbugs:jsr305:3.0.2,1
