Class Name	Class Visibility	Class Library	Usage	Used In Library
com.univocity.parsers.csv.CsvWriter	public	com.univocity:univocity-parsers:2.8.4	instantiation	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.doubles.DoubleOpenHashSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.ints.IntArrayList	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.doubles.DoubleArrayList	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
org.apache.commons.math3.stat.descriptive.SummaryStatistics	public	org.apache.commons:commons-math3:3.6.1	cast	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.floats.FloatArrayList	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.WriteOptions	public	tech.tablesaw:tablesaw-core:0.38.5	subtyping	tech.tablesaw:tablesaw-html:0.38.5
it.unimi.dsi.fastutil.doubles.DoubleArrayList	public	it.unimi.dsi:fastutil:8.3.0	method call	tech.tablesaw:tablesaw-core:0.38.5
com.univocity.parsers.csv.CsvWriterSettings	public	com.univocity:univocity-parsers:2.8.4	instantiation	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.api.Table	public	tech.tablesaw:tablesaw-core:0.38.5	method call	tech.tablesaw:tablesaw-html:0.38.5
tech.tablesaw.io.Destination	public	tech.tablesaw:tablesaw-core:0.38.5	method call	tech.tablesaw:tablesaw-html:0.38.5
java.lang.Enum	public	unknownLib	Class.forName	io.github.classgraph:classgraph:4.8.60
com.univocity.parsers.csv.CsvParserSettings	public	com.univocity:univocity-parsers:2.8.4	instantiation	tech.tablesaw:tablesaw-core:0.38.5
com.univocity.parsers.csv.CsvParser	public	com.univocity:univocity-parsers:2.8.4	instantiation	tech.tablesaw:tablesaw-core:0.38.5
org.apache.commons.math3.stat.correlation.PearsonsCorrelation	public	org.apache.commons:commons-math3:3.6.1	instantiation	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.DataReader	public	tech.tablesaw:tablesaw-core:0.38.5	subtyping	tech.tablesaw:tablesaw-html:0.38.5
org.apache.commons.math3.stat.correlation.SpearmansCorrelation	public	org.apache.commons:commons-math3:3.6.1	instantiation	tech.tablesaw:tablesaw-core:0.38.5
com.univocity.parsers.fixed.FixedWidthFormat	public	com.univocity:univocity-parsers:2.8.4	instantiation	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.shorts.ShortOpenHashSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
io.github.classgraph.ScanResult	public	io.github.classgraph:classgraph:4.8.60	method call	tech.tablesaw:tablesaw-core:0.38.5
com.google.common.annotations.Beta	public	com.google.guava:guava:30.0-jre	annotation	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.ints.IntOpenHashSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
java.lang.ModuleLayer	public	unknownLib	Class.forName	io.github.classgraph:classgraph:4.8.60
it.unimi.dsi.fastutil.longs.LongRBTreeSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
io.github.classgraph.ClassGraph	public	io.github.classgraph:classgraph:4.8.60	instantiation	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.ints.IntRBTreeSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.ReadOptions	public	tech.tablesaw:tablesaw-core:0.38.5	subtyping	tech.tablesaw:tablesaw-html:0.38.5
com.google.common.base.Objects	public	com.google.guava:guava:30.0-jre	method call	tech.tablesaw:tablesaw-core:0.38.5
org.apache.commons.math3.random.EmpiricalDistribution	public	org.apache.commons:commons-math3:3.6.1	instantiation	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.longs.LongArrayList	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
org.jsoup.nodes.Element	public	org.jsoup:jsoup:1.14.2	instantiation	tech.tablesaw:tablesaw-html:0.38.5
java.lang.StackWalker	public	unknownLib	Class.forName	io.github.classgraph:classgraph:4.8.60
it.unimi.dsi.fastutil.ints.IntIterable	public	it.unimi.dsi:fastutil:8.3.0	subtyping	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.bytes.Byte2IntOpenHashMap	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
com.univocity.parsers.csv.CsvFormat	public	com.univocity:univocity-parsers:2.8.4	cast	tech.tablesaw:tablesaw-core:0.38.5
com.univocity.parsers.fixed.FixedWidthWriter	public	com.univocity:univocity-parsers:2.8.4	instantiation	tech.tablesaw:tablesaw-core:0.38.5
interface java.lang.StackWalker$StackFrame	public	unknownLib	method call	unknownLib
it.unimi.dsi.fastutil.floats.FloatOpenHashSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
com.google.common.base.Preconditions	public	com.google.guava:guava:30.0-jre	method call	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.fixed.FixedWidthWriter	public	tech.tablesaw:tablesaw-core:0.38.5	Class.forName	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.api.DoubleColumn	public	tech.tablesaw:tablesaw-core:0.38.5	method call	tech.tablesaw:tablesaw-html:0.38.5
com.univocity.parsers.fixed.FixedWidthParser	public	com.univocity:univocity-parsers:2.8.4	instantiation	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.booleans.BooleanOpenHashSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
java.lang.StackWalker$StackFrame	public	unknownLib	Class.forName	io.github.classgraph:classgraph:4.8.60
it.unimi.dsi.fastutil.floats.FloatRBTreeSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
org.jsoup.nodes.Element	public	org.jsoup:jsoup:1.14.2	method call	tech.tablesaw:tablesaw-html:0.38.5
it.unimi.dsi.fastutil.doubles.DoubleRBTreeSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
java.lang.StackWalker$Option	public	unknownLib	Class.forName	io.github.classgraph:classgraph:4.8.60
com.univocity.parsers.fixed.FixedWidthParserSettings	public	com.univocity:univocity-parsers:2.8.4	instantiation	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.ReaderRegistry	public	tech.tablesaw:tablesaw-core:0.38.5	method call	tech.tablesaw:tablesaw-html:0.38.5
it.unimi.dsi.fastutil.bytes.ByteArrayList	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.csv.CsvWriter	public	tech.tablesaw:tablesaw-core:0.38.5	Class.forName	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.fixed.FixedWidthReader	public	tech.tablesaw:tablesaw-core:0.38.5	Class.forName	tech.tablesaw:tablesaw-core:0.38.5
org.jsoup.nodes.DataNode	public	org.jsoup:jsoup:1.14.2	instantiation	tech.tablesaw:tablesaw-html:0.38.5
io.github.classgraph.ClassGraph	public	io.github.classgraph:classgraph:4.8.60	method call	tech.tablesaw:tablesaw-core:0.38.5
com.univocity.parsers.fixed.FixedWidthWriterSettings	public	com.univocity:univocity-parsers:2.8.4	instantiation	tech.tablesaw:tablesaw-core:0.38.5
org.jsoup.nodes.Element	public	org.jsoup:jsoup:1.14.2	cast	tech.tablesaw:tablesaw-html:0.38.5
it.unimi.dsi.fastutil.longs.LongOpenHashSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.columns.Column	public	tech.tablesaw:tablesaw-core:0.38.5	cast	tech.tablesaw:tablesaw-html:0.38.5
tech.tablesaw.io.DataWriter	public	tech.tablesaw:tablesaw-core:0.38.5	subtyping	tech.tablesaw:tablesaw-html:0.38.5
tech.tablesaw.io.html.HtmlReader	public	tech.tablesaw:tablesaw-html:0.38.5	Class.forName	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.WriterRegistry	public	tech.tablesaw:tablesaw-core:0.38.5	method call	tech.tablesaw:tablesaw-html:0.38.5
tech.tablesaw.io.csv.CsvReader	public	tech.tablesaw:tablesaw-core:0.38.5	Class.forName	tech.tablesaw:tablesaw-core:0.38.5
org.apache.commons.math3.stat.correlation.KendallsCorrelation	public	org.apache.commons:commons-math3:3.6.1	instantiation	tech.tablesaw:tablesaw-core:0.38.5
io.github.classgraph.ClassInfoList	public	io.github.classgraph:classgraph:4.8.60	method call	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.html.HtmlWriter	public	tech.tablesaw:tablesaw-html:0.38.5	method call	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.bytes.ByteOpenHashSet	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
it.unimi.dsi.fastutil.shorts.ShortArrayList	public	it.unimi.dsi:fastutil:8.3.0	instantiation	tech.tablesaw:tablesaw-core:0.38.5
sun.misc.Unsafe	public	unknownLib	Class.forName	io.github.classgraph:classgraph:4.8.60
com.univocity.parsers.csv.CsvFormat	public	com.univocity:univocity-parsers:2.8.4	instantiation	tech.tablesaw:tablesaw-core:0.38.5
javax.annotation.concurrent.Immutable	public	com.google.code.findbugs:jsr305:3.0.2	annotation	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.html.HtmlWriter	public	tech.tablesaw:tablesaw-html:0.38.5	Class.forName	tech.tablesaw:tablesaw-core:0.38.5
tech.tablesaw.io.WriteOptions$Builder	public	tech.tablesaw:tablesaw-core:0.38.5	subtyping	tech.tablesaw:tablesaw-html:0.38.5
java.util.function.Consumer	public	unknownLib	Class.forName	io.github.classgraph:classgraph:4.8.60
