Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
tech.tablesaw:tablesaw-core:0.38.5	it.unimi.dsi.fastutil.doubles.DoubleComparators::NATURAL_COMPARATOR	it.unimi.dsi.fastutil.doubles.DoubleComparators	it.unimi.dsi.fastutil.doubles.DoubleComparators	it.unimi.dsi.fastutil.doubles.DoubleComparator	TRUE	public	it.unimi.dsi:fastutil:8.3.0	FALSE	1
tech.tablesaw:tablesaw-core:0.38.5	it.unimi.dsi.fastutil.bytes.ByteComparators::OPPOSITE_COMPARATOR	it.unimi.dsi.fastutil.bytes.ByteComparators	it.unimi.dsi.fastutil.bytes.ByteComparators	it.unimi.dsi.fastutil.bytes.ByteComparator	TRUE	public	it.unimi.dsi:fastutil:8.3.0	FALSE	1
io.github.classgraph:classgraph:4.8.60	nonapi.io.github.classgraph.scanspec.ScanSpec::moduleWhiteBlackList	nonapi.io.github.classgraph.scanspec.ScanSpec	nonapi.io.github.classgraph.scanspec.ScanSpec	nonapi.io.github.classgraph.scanspec.WhiteBlackList$WhiteBlackListWholeString	FALSE	public	io.github.classgraph:classgraph:4.8.60	TRUE	1
tech.tablesaw:tablesaw-core:0.38.5	it.unimi.dsi.fastutil.shorts.ShortComparators::NATURAL_COMPARATOR	it.unimi.dsi.fastutil.shorts.ShortComparators	it.unimi.dsi.fastutil.shorts.ShortComparators	it.unimi.dsi.fastutil.shorts.ShortComparator	TRUE	public	it.unimi.dsi:fastutil:8.3.0	FALSE	1
tech.tablesaw:tablesaw-core:0.38.5	it.unimi.dsi.fastutil.floats.FloatComparators::NATURAL_COMPARATOR	it.unimi.dsi.fastutil.floats.FloatComparators	it.unimi.dsi.fastutil.floats.FloatComparators	it.unimi.dsi.fastutil.floats.FloatComparator	TRUE	public	it.unimi.dsi:fastutil:8.3.0	FALSE	1
tech.tablesaw:tablesaw-core:0.38.5	it.unimi.dsi.fastutil.longs.LongComparators::OPPOSITE_COMPARATOR	it.unimi.dsi.fastutil.longs.LongComparators	it.unimi.dsi.fastutil.longs.LongComparators	it.unimi.dsi.fastutil.longs.LongComparator	TRUE	public	it.unimi.dsi:fastutil:8.3.0	FALSE	6
io.github.classgraph:classgraph:4.8.60	nonapi.io.github.classgraph.scanspec.ScanSpec::jarWhiteBlackList	nonapi.io.github.classgraph.scanspec.ScanSpec	nonapi.io.github.classgraph.scanspec.ScanSpec	nonapi.io.github.classgraph.scanspec.WhiteBlackList$WhiteBlackListLeafname	FALSE	public	io.github.classgraph:classgraph:4.8.60	TRUE	1
io.github.classgraph:classgraph:4.8.60	nonapi.io.github.classgraph.scanspec.ScanSpec::classPackageWhiteBlackList	nonapi.io.github.classgraph.scanspec.ScanSpec	nonapi.io.github.classgraph.scanspec.ScanSpec	nonapi.io.github.classgraph.scanspec.WhiteBlackList$WhiteBlackListWholeString	FALSE	public	io.github.classgraph:classgraph:4.8.60	TRUE	1
tech.tablesaw:tablesaw-core:0.38.5	it.unimi.dsi.fastutil.longs.LongComparators::NATURAL_COMPARATOR	it.unimi.dsi.fastutil.longs.LongComparators	it.unimi.dsi.fastutil.longs.LongComparators	it.unimi.dsi.fastutil.longs.LongComparator	TRUE	public	it.unimi.dsi:fastutil:8.3.0	FALSE	3
tech.tablesaw:tablesaw-core:0.38.5	it.unimi.dsi.fastutil.bytes.ByteComparators::NATURAL_COMPARATOR	it.unimi.dsi.fastutil.bytes.ByteComparators	it.unimi.dsi.fastutil.bytes.ByteComparators	it.unimi.dsi.fastutil.bytes.ByteComparator	TRUE	public	it.unimi.dsi:fastutil:8.3.0	FALSE	1
