Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
tech.tablesaw.io.html.HtmlReader::register(Ltech/tablesaw/io/ReaderRegistry;)V,tech.tablesaw:tablesaw-html:0.38.5,public,tech.tablesaw.io.ReaderRegistry::registerExtension(Ljava/lang/String;Ltech/tablesaw/io/DataReader;)V,tech.tablesaw:tablesaw-core:0.38.5,tech.tablesaw.io.ReaderRegistry::registerExtension(Ljava/lang/String;Ltech/tablesaw/io/DataReader;)V,tech.tablesaw:tablesaw-core:0.38.5,1,false,false,
tech.tablesaw.io.html.HtmlWriter::register(Ltech/tablesaw/io/WriterRegistry;)V,tech.tablesaw:tablesaw-html:0.38.5,public,tech.tablesaw.io.WriterRegistry::registerOptions(Ljava/lang/Class;Ltech/tablesaw/io/DataWriter;)V,tech.tablesaw:tablesaw-core:0.38.5,tech.tablesaw.io.WriterRegistry::registerOptions(Ljava/lang/Class;Ltech/tablesaw/io/DataWriter;)V,tech.tablesaw:tablesaw-core:0.38.5,1,false,false,
tech.tablesaw.api.Table::validateColumn(Ltech/tablesaw/columns/Column;)V,tech.tablesaw:tablesaw-core:0.38.5,public,com.google.common.base.Preconditions::checkNotNull(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,com.google.guava:guava:30.0-jre,com.google.common.base.Preconditions::checkNotNull(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;,com.google.guava:guava:30.0-jre,8,false,false,
tech.tablesaw.io.DataFrameWriter::usingOptions(Ltech/tablesaw/io/WriteOptions;)V,tech.tablesaw:tablesaw-core:0.38.5,public,tech.tablesaw.io.DataWriter::write(Ltech/tablesaw/api/Table;Ltech/tablesaw/io/WriteOptions;)V,tech.tablesaw:tablesaw-core:0.38.5,tech.tablesaw.io.html.HtmlWriter::write(Ltech/tablesaw/api/Table;Ltech/tablesaw/io/WriteOptions;)V,tech.tablesaw:tablesaw-html:0.38.5,1,false,false,
tech.tablesaw.io.html.HtmlReader::register(Ltech/tablesaw/io/ReaderRegistry;)V,tech.tablesaw:tablesaw-html:0.38.5,public,tech.tablesaw.io.ReaderRegistry::registerOptions(Ljava/lang/Class;Ltech/tablesaw/io/DataReader;)V,tech.tablesaw:tablesaw-core:0.38.5,tech.tablesaw.io.ReaderRegistry::registerOptions(Ljava/lang/Class;Ltech/tablesaw/io/DataReader;)V,tech.tablesaw:tablesaw-core:0.38.5,1,false,false,
tech.tablesaw.api.Table::checkColumnSize(Ltech/tablesaw/columns/Column;)V,tech.tablesaw:tablesaw-core:0.38.5,public,com.google.common.base.Preconditions::checkArgument(ZLjava/lang/Object;)V,com.google.guava:guava:30.0-jre,com.google.common.base.Preconditions::checkArgument(ZLjava/lang/Object;)V,com.google.guava:guava:30.0-jre,4,false,false,
tech.tablesaw.api.Table::autoRegisterReadersAndWriters()V,tech.tablesaw:tablesaw-core:0.38.5,public,io.github.classgraph.ClassGraph::enableAllInfo()Lio/github/classgraph/ClassGraph;,io.github.classgraph:classgraph:4.8.60,io.github.classgraph.ClassGraph::enableAllInfo()Lio/github/classgraph/ClassGraph;,io.github.classgraph:classgraph:4.8.60,1,false,false,
tech.tablesaw.api.Table::autoRegisterReadersAndWriters()V,tech.tablesaw:tablesaw-core:0.38.5,public,io.github.classgraph.ScanResult::close()V,io.github.classgraph:classgraph:4.8.60,io.github.classgraph.ScanResult::close()V,io.github.classgraph:classgraph:4.8.60,1,false,false,
tech.tablesaw.io.html.HtmlWriter::write(Ltech/tablesaw/api/Table;Ltech/tablesaw/io/html/HtmlWriteOptions;)V,tech.tablesaw:tablesaw-html:0.38.5,public,tech.tablesaw.api.Table::columns()Ljava/util/List;,tech.tablesaw:tablesaw-core:0.38.5,tech.tablesaw.api.Table::columns()Ljava/util/List;,tech.tablesaw:tablesaw-core:0.38.5,2,false,false,
tech.tablesaw.io.html.HtmlWriter::row(ILtech/tablesaw/api/Table;Ltech/tablesaw/io/html/HtmlWriteOptions$ElementCreator;Ltech/tablesaw/io/html/HtmlWriteOptions;)Lorg/jsoup/nodes/Element;,tech.tablesaw:tablesaw-html:0.38.5,public,org.jsoup.nodes.Element::appendChild(Lorg/jsoup/nodes/Node;)Lorg/jsoup/nodes/Element;,org.jsoup:jsoup:1.14.2,org.jsoup.nodes.Element::appendChild(Lorg/jsoup/nodes/Node;)Lorg/jsoup/nodes/Element;,org.jsoup:jsoup:1.14.2,12,false,false,
