Class Name	Class Visibility	Class Library	Usage	Used In Library
org.apache.http.impl.conn.CPool	default	org.apache.httpcomponents:httpclient:4.5.2	method call	org.apache.httpcomponents:httpcore:4.4.4
com.sun.crypto.provider.AESCipher$General	public	unknownLib	Class.forName	java.security
org.apache.http.client.protocol.HttpClientContext	public	org.apache.httpcomponents:httpclient:4.5.2	method call	us.codecraft:webmagic-core:0.7.3
org.apache.http.impl.execchain.ResponseEntityProxy	default	org.apache.httpcomponents:httpclient:4.5.2	method call	org.apache.httpcomponents:httpcore:4.4.4
org.apache.http.annotation.Immutable	public	org.apache.httpcomponents:httpcore:4.4.4	annotation	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.NoHttpResponseException	public	org.apache.httpcomponents:httpcore:4.4.4	instantiation	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.message.BufferedHeader	public	org.apache.httpcomponents:httpcore:4.4.4	instantiation	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.util.Args	default	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
org.jsoup.Jsoup	public	org.jsoup:jsoup:1.10.3	method call	us.codecraft:webmagic-core:0.7.3
org.apache.http.util.LangUtils	public	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.impl.conn.CPoolEntry	default	org.apache.httpcomponents:httpclient:4.5.2	method call	org.apache.httpcomponents:httpcore:4.4.4
sun.security.ec.ECParameters	public	unknownLib	Class.forName	java.security
org.apache.http.message.BasicHeaderElementIterator	public	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
org.w3c.dom.Element	public	org.w3c.dom	cast	log4j:log4j:1.2.17
org.apache.http.entity.ByteArrayEntity	public	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.entity.BufferedHttpEntity	public	org.apache.httpcomponents:httpcore:4.4.4	instantiation	org.apache.httpcomponents:httpclient:4.5.2
org.jsoup.helper.StringUtil	public	org.jsoup:jsoup:1.10.3	method call	us.codecraft:xsoup:0.3.1
org.apache.commons.logging.LogFactory	public	commons-logging:commons-logging:1.2	method call	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.message.BasicLineParser	public	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.message.BasicNameValuePair	public	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.message.HeaderGroup	public	org.apache.httpcomponents:httpcore:4.4.4	instantiation	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.util.CharArrayBuffer	public	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.message.BasicStatusLine	public	org.apache.httpcomponents:httpcore:4.4.4	method call	us.codecraft:webmagic-core:0.7.3
org.apache.http.HttpHost	public	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
java.security.interfaces.RSAPublicKey	public	unknownLib	Class.forName	java.security
org.apache.http.client.protocol.ResponseContentEncoding	public	org.apache.httpcomponents:httpclient:4.5.2	method call	org.apache.httpcomponents:httpcore:4.4.4
org.apache.http.protocol.RequestUserAgent	public	org.apache.httpcomponents:httpcore:4.4.4	instantiation	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.util.Asserts	public	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.HttpHost	public	org.apache.httpcomponents:httpcore:4.4.4	cast	org.apache.httpcomponents:httpclient:4.5.2
us.codecraft.xsoup.xevaluator.DefaultXPathEvaluator	public	us.codecraft:xsoup:0.3.1	method call	us.codecraft:webmagic-core:0.7.3
org.jsoup.helper.StringUtil	public	org.jsoup:jsoup:1.10.3	method call	us.codecraft:webmagic-core:0.7.3
org.apache.http.ssl.SSLContexts	public	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
org.slf4j.impl.Log4jLoggerAdapter	public	org.slf4j:slf4j-log4j12:1.7.6	method call	org.slf4j:slf4j-api:1.7.6
org.apache.http.impl.conn.DefaultHttpResponseParser	public	org.apache.httpcomponents:httpclient:4.5.2	method call	org.apache.httpcomponents:httpcore:4.4.4
org.apache.http.protocol.BasicHttpContext	public	org.apache.httpcomponents:httpcore:4.4.4	instantiation	org.apache.httpcomponents:httpclient:4.5.2
org.jsoup.nodes.Element	public	org.jsoup:jsoup:1.10.3	cast	us.codecraft:webmagic-core:0.7.3
org.jsoup.select.Evaluator$Tag	public	org.jsoup:jsoup:1.10.3	instantiation	us.codecraft:xsoup:0.3.1
org.apache.http.impl.DefaultHttpResponseFactory	public	org.apache.httpcomponents:httpcore:4.4.4	method call	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.io.HttpMessageParserFactory	public	org.apache.httpcomponents:httpcore:4.4.4	subtyping	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.client.methods.HttpGet	public	org.apache.httpcomponents:httpclient:4.5.2	instantiation	us.codecraft:webmagic-core:0.7.3
sun.security.ssl.TrustManagerFactoryImpl$PKIXFactory	public	unknownLib	Class.forName	java.security
org.apache.http.client.methods.RequestBuilder$InternalRequest	default	org.apache.httpcomponents:httpclient:4.5.2	method call	us.codecraft:webmagic-core:0.7.3
org.apache.commons.logging.LogFactory	public	commons-logging:commons-logging:1.2	Class.forName	commons-logging:commons-logging:1.2
org.apache.http.ProtocolException	public	org.apache.httpcomponents:httpcore:4.4.4	subtyping	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.message.BasicRequestLine	public	org.apache.httpcomponents:httpcore:4.4.4	instantiation	org.apache.httpcomponents:httpclient:4.5.2
org.apache.http.HttpException	public	org.apache.httpcomponents:httpcore:4.4.4	instantiation	org.apache.httpcomponents:httpclient:4.5.2
us.codecraft.xsoup.Xsoup	public	us.codecraft:xsoup:0.3.1	method call	us.codecraft:webmagic-core:0.7.3
sun.security.ec.ECDSASignature$SHA1	public	unknownLib	Class.forName	java.security
org.apache.http.auth.AuthState	public	org.apache.httpcomponents:httpclient:4.5.2	method call	us.codecraft:webmagic-core:0.7.3
org.jsoup.nodes.Element	public	org.jsoup:jsoup:1.10.3	method call	us.codecraft:webmagic-core:0.7.3
org.jsoup.nodes.Document	public	org.jsoup:jsoup:1.10.3	method call	us.codecraft:webmagic-core:0.7.3
sun.security.provider.NativePRNG	public	unknownLib	Class.forName	java.security
