Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
commons-logging:commons-logging:1.2	org.apache.log4j.Level::WARN	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	3
org.slf4j:slf4j-log4j12:1.7.6	org.apache.log4j.Level::ERROR	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	10
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.impl.DefaultConnectionReuseStrategy::INSTANCE	org.apache.http.impl.DefaultConnectionReuseStrategy	org.apache.http.impl.DefaultConnectionReuseStrategy	org.apache.http.impl.DefaultConnectionReuseStrategy	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.slf4j:slf4j-log4j12:1.7.6	org.apache.log4j.Level::INFO	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	6
org.slf4j:slf4j-log4j12:1.7.6	org.apache.log4j.Level::WARN	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	10
org.slf4j:slf4j-api:1.7.6	org.slf4j.impl.StaticLoggerBinder::REQUESTED_API_VERSION	org.slf4j.impl.StaticLoggerBinder	org.slf4j.impl.StaticLoggerBinder	java.lang.String	TRUE	public	org.slf4j:slf4j-log4j12:1.7.6	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.config.MessageConstraints::DEFAULT	org.apache.http.config.MessageConstraints	org.apache.http.config.MessageConstraints	org.apache.http.config.MessageConstraints	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.entity.ContentType::APPLICATION_FORM_URLENCODED	org.apache.http.entity.ContentType	org.apache.http.entity.ContentType	org.apache.http.entity.ContentType	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.HttpVersion::HTTP_1_0	org.apache.http.HttpVersion	org.apache.http.HttpVersion	org.apache.http.HttpVersion	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.protocol.HTTP::DEF_CONTENT_CHARSET	org.apache.http.protocol.HTTP	org.apache.http.protocol.HTTP	java.nio.charset.Charset	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	2
com.jayway.jsonpath:json-path:2.4.0	net.minidev.json.JSONStyle::LT_COMPRESS	net.minidev.json.JSONStyle	net.minidev.json.JSONStyle	net.minidev.json.JSONStyle	TRUE	public	net.minidev:json-smart:2.3	FALSE	2
us.codecraft:webmagic-core:0.7.3	org.apache.http.conn.socket.PlainConnectionSocketFactory::INSTANCE	org.apache.http.conn.socket.PlainConnectionSocketFactory	org.apache.http.conn.socket.PlainConnectionSocketFactory	org.apache.http.conn.socket.PlainConnectionSocketFactory	TRUE	public	org.apache.httpcomponents:httpclient:4.5.2	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.Consts::UTF_8	org.apache.http.Consts	org.apache.http.Consts	java.nio.charset.Charset	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	12
com.jayway.jsonpath:json-path:2.4.0	net.minidev.json.writer.JsonReader::DEFAULT_ORDERED	net.minidev.json.writer.JsonReader	net.minidev.json.writer.JsonReader	net.minidev.json.writer.JsonReaderI<net.minidev.json.JSONAwareEx>	FALSE	public	net.minidev:json-smart:2.3	FALSE	7
com.jayway.jsonpath:json-path:2.4.0	net.minidev.json.JSONValue::defaultReader	net.minidev.json.JSONValue	net.minidev.json.JSONValue	net.minidev.json.writer.JsonReader	TRUE	public	net.minidev:json-smart:2.3	FALSE	2
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.impl.NoConnectionReuseStrategy::INSTANCE	org.apache.http.impl.NoConnectionReuseStrategy	org.apache.http.impl.NoConnectionReuseStrategy	org.apache.http.impl.NoConnectionReuseStrategy	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.slf4j:slf4j-log4j12:1.7.6	org.apache.log4j.Level::DEBUG	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	12
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.impl.entity.StrictContentLengthStrategy::INSTANCE	org.apache.http.impl.entity.StrictContentLengthStrategy	org.apache.http.impl.entity.StrictContentLengthStrategy	org.apache.http.impl.entity.StrictContentLengthStrategy	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
commons-logging:commons-logging:1.2	org.apache.log4j.Level::DEBUG	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	2
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.config.SocketConfig::DEFAULT	org.apache.http.config.SocketConfig	org.apache.http.config.SocketConfig	org.apache.http.config.SocketConfig	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.config.ConnectionConfig::DEFAULT	org.apache.http.config.ConnectionConfig	org.apache.http.config.ConnectionConfig	org.apache.http.config.ConnectionConfig	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	2
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.message.BasicHeaderValueParser::INSTANCE	org.apache.http.message.BasicHeaderValueParser	org.apache.http.message.BasicHeaderValueParser	org.apache.http.message.BasicHeaderValueParser	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.message.TokenParser::INSTANCE	org.apache.http.message.TokenParser	org.apache.http.message.TokenParser	org.apache.http.message.TokenParser	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	2
org.slf4j:slf4j-log4j12:1.7.6	org.apache.log4j.Level::TRACE	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	7
us.codecraft:webmagic-core:0.7.3	org.apache.http.auth.ChallengeState::PROXY	org.apache.http.auth.ChallengeState	org.apache.http.auth.ChallengeState	org.apache.http.auth.ChallengeState	TRUE	public	org.apache.httpcomponents:httpclient:4.5.2	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.impl.DefaultHttpResponseFactory::INSTANCE	org.apache.http.impl.DefaultHttpResponseFactory	org.apache.http.impl.DefaultHttpResponseFactory	org.apache.http.impl.DefaultHttpResponseFactory	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	2
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.message.BasicLineParser::INSTANCE	org.apache.http.message.BasicLineParser	org.apache.http.message.BasicLineParser	org.apache.http.message.BasicLineParser	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.Consts::ASCII	org.apache.http.Consts	org.apache.http.Consts	java.nio.charset.Charset	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	6
commons-logging:commons-logging:1.2	org.apache.log4j.Level::ERROR	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	3
commons-logging:commons-logging:1.2	org.apache.log4j.Level::FATAL	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	3
commons-logging:commons-logging:1.2	org.apache.log4j.Level::INFO	org.apache.log4j.Level	org.apache.log4j.Level	org.apache.log4j.Level	TRUE	public	log4j:log4j:1.2.17	FALSE	2
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.impl.io.DefaultHttpRequestWriterFactory::INSTANCE	org.apache.http.impl.io.DefaultHttpRequestWriterFactory	org.apache.http.impl.io.DefaultHttpRequestWriterFactory	org.apache.http.impl.io.DefaultHttpRequestWriterFactory	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.impl.entity.LaxContentLengthStrategy::INSTANCE	org.apache.http.impl.entity.LaxContentLengthStrategy	org.apache.http.impl.entity.LaxContentLengthStrategy	org.apache.http.impl.entity.LaxContentLengthStrategy	TRUE	public	org.apache.httpcomponents:httpcore:4.4.4	FALSE	1
