Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.apache.http.impl.DefaultBHttpClientConnection::sendRequestHeader(Lorg/apache/http/HttpRequest;)V	org.apache.httpcomponents:httpcore:4.4.4	protected	org.apache.http.impl.DefaultBHttpClientConnection::ensureOpen()V	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.impl.conn.LoggingManagedHttpClientConnection::ensureOpen()V	org.apache.httpcomponents:httpclient:4.5.2	20	false	false	
us.codecraft.xsoup.xevaluator.DefaultXPathEvaluator::evaluate(Lorg/jsoup/nodes/Element;)Lus/codecraft/xsoup/XElements;	us.codecraft:xsoup:0.3.1	public	org.jsoup.select.Collector::collect(Lorg/jsoup/select/Evaluator;Lorg/jsoup/nodes/Element;)Lorg/jsoup/select/Elements;	org.jsoup:jsoup:1.10.3	org.jsoup.select.Collector::collect(Lorg/jsoup/select/Evaluator;Lorg/jsoup/nodes/Element;)Lorg/jsoup/select/Elements;	org.jsoup:jsoup:1.10.3	13	false	false	
org.apache.http.pool.AbstractConnPool::getPoolEntryBlocking(Ljava/lang/Object;Ljava/lang/Object;JLjava/util/concurrent/TimeUnit;Lorg/apache/http/pool/PoolEntryFuture;)Lorg/apache/http/pool/PoolEntry;	org.apache.httpcomponents:httpcore:4.4.4	private	org.apache.http.pool.AbstractConnPool::getPool(Ljava/lang/Object;)Lorg/apache/http/pool/RouteSpecificPool;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.impl.conn.CPool::getPool(Ljava/lang/Object;)Lorg/apache/http/pool/RouteSpecificPool;	org.apache.httpcomponents:httpclient:4.5.2	21	false	false	
org.apache.http.client.protocol.ResponseProcessCookies::process(Lorg/apache/http/HttpResponse;Lorg/apache/http/protocol/HttpContext;)V	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	38	false	false	
org.apache.http.impl.cookie.RFC6265CookieSpec::validate(Lorg/apache/http/cookie/Cookie;Lorg/apache/http/cookie/CookieOrigin;)V	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	14	false	false	
us.codecraft.webmagic.utils.HttpClientUtils::convertHeaders([Lorg/apache/http/Header;)Ljava/util/Map;	us.codecraft:webmagic-core:0.7.3	public	org.apache.http.Header::getName()Ljava/lang/String;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.message.BufferedHeader::getName()Ljava/lang/String;	org.apache.httpcomponents:httpcore:4.4.4	77	false	false	
org.apache.http.impl.execchain.RedirectExec::RedirectExec(Lorg/apache/http/impl/execchain/ClientExecChain;Lorg/apache/http/conn/routing/HttpRoutePlanner;Lorg/apache/http/client/RedirectStrategy;)V	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	commons-logging:commons-logging:1.2	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	commons-logging:commons-logging:1.2	22	false	false	
us.codecraft.webmagic.scheduler.DuplicateRemovedScheduler::DuplicateRemovedScheduler()V	us.codecraft:webmagic-core:0.7.3	public	org.slf4j.LoggerFactory::getLogger(Ljava/lang/Class;)Lorg/slf4j/Logger;	org.slf4j:slf4j-api:1.7.6	org.slf4j.LoggerFactory::getLogger(Ljava/lang/Class;)Lorg/slf4j/Logger;	org.slf4j:slf4j-api:1.7.6	5	false	false	
org.apache.http.impl.conn.DefaultRoutePlanner::determineRoute(Lorg/apache/http/HttpHost;Lorg/apache/http/HttpRequest;Lorg/apache/http/protocol/HttpContext;)Lorg/apache/http/conn/routing/HttpRoute;	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	21	false	false	
org.apache.http.impl.conn.DefaultHttpResponseParser::parseHead(Lorg/apache/http/io/SessionInputBuffer;)Lorg/apache/http/HttpResponse;	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.io.SessionInputBuffer::readLine(Lorg/apache/http/util/CharArrayBuffer;)I	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.impl.io.SessionInputBufferImpl::readLine(Lorg/apache/http/util/CharArrayBuffer;)I	org.apache.httpcomponents:httpcore:4.4.4	20	false	false	
org.apache.http.protocol.HttpCoreContext::getConnection()Lorg/apache/http/HttpConnection;	org.apache.httpcomponents:httpcore:4.4.4	public	org.apache.http.protocol.HttpCoreContext::getAttribute(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.client.protocol.HttpClientContext::getAttribute(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;	org.apache.httpcomponents:httpclient:4.5.2	20	false	false	
org.apache.http.protocol.HttpRequestExecutor::canResponseHaveBody(Lorg/apache/http/HttpRequest;Lorg/apache/http/HttpResponse;)Z	org.apache.httpcomponents:httpcore:4.4.4	public	org.apache.http.HttpRequest::getRequestLine()Lorg/apache/http/RequestLine;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.client.methods.HttpRequestWrapper$HttpEntityEnclosingRequestWrapper::getRequestLine()Lorg/apache/http/RequestLine;	org.apache.httpcomponents:httpclient:4.5.2	2	false	false	
org.apache.http.conn.routing.RouteTracker::RouteTracker(Lorg/apache/http/HttpHost;Ljava/net/InetAddress;)V	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	21	false	false	
org.apache.http.protocol.RequestContent::process(Lorg/apache/http/HttpRequest;Lorg/apache/http/protocol/HttpContext;)V	org.apache.httpcomponents:httpcore:4.4.4	public	org.apache.http.HttpEntityEnclosingRequest::getEntity()Lorg/apache/http/HttpEntity;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.client.methods.HttpRequestWrapper$HttpEntityEnclosingRequestWrapper::getEntity()Lorg/apache/http/HttpEntity;	org.apache.httpcomponents:httpclient:4.5.2	2	false	false	
org.apache.http.impl.conn.ManagedHttpClientConnectionFactory::create(Lorg/apache/http/conn/routing/HttpRoute;Lorg/apache/http/config/ConnectionConfig;)Lorg/apache/http/conn/ManagedHttpClientConnection;	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.config.ConnectionConfig::getMalformedInputAction()Ljava/nio/charset/CodingErrorAction;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.config.ConnectionConfig::getMalformedInputAction()Ljava/nio/charset/CodingErrorAction;	org.apache.httpcomponents:httpcore:4.4.4	21	false	false	
org.apache.http.client.protocol.RequestAuthCache::RequestAuthCache()V	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	commons-logging:commons-logging:1.2	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	commons-logging:commons-logging:1.2	22	false	false	
org.apache.http.impl.client.DefaultHttpRequestRetryHandler::retryRequest(Ljava/io/IOException;ILorg/apache/http/protocol/HttpContext;)Z	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	2	false	false	
us.codecraft.webmagic.downloader.HttpUriRequestConverter::convertHttpClientContext(Lus/codecraft/webmagic/Request;Lus/codecraft/webmagic/Site;Lus/codecraft/webmagic/proxy/Proxy;)Lorg/apache/http/client/protocol/HttpClientContext;	us.codecraft:webmagic-core:0.7.3	public	org.apache.http.client.CookieStore::addCookie(Lorg/apache/http/cookie/Cookie;)V	org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.impl.client.BasicCookieStore::addCookie(Lorg/apache/http/cookie/Cookie;)V	org.apache.httpcomponents:httpclient:4.5.2	2	false	false	
org.apache.http.impl.cookie.RFC6265CookieSpec::formatCookies(Ljava/util/List;)Ljava/util/List;	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.util.CharArrayBuffer::append(Ljava/lang/String;)V	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.util.CharArrayBuffer::append(Ljava/lang/String;)V	org.apache.httpcomponents:httpcore:4.4.4	8	false	false	
us.codecraft.xsoup.xevaluator.XEvaluators$IsNthOfType::calculatePosition(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)I	us.codecraft:xsoup:0.3.1	public	org.jsoup.nodes.Element::tag()Lorg/jsoup/parser/Tag;	org.jsoup:jsoup:1.10.3	org.jsoup.nodes.Element::tag()Lorg/jsoup/parser/Tag;	org.jsoup:jsoup:1.10.3	8	false	false	
org.apache.http.impl.conn.LoggingManagedHttpClientConnection::onRequestSubmitted(Lorg/apache/http/HttpRequest;)V	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.commons.logging.Log::isDebugEnabled()Z	commons-logging:commons-logging:1.2	org.apache.commons.logging.impl.Log4JLogger::isDebugEnabled()Z	commons-logging:commons-logging:1.2	20	false	false	
