Class,Method,Field Name:Field Signature,Annotated In Library,Annotation,Annotation Visibility,Annotation Library,Count
org.apache.http.impl.client.ProxyAuthenticationStrategy,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.client.DefaultRedirectStrategy,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.client.protocol.RequestAddCookies,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.conn.HttpHostConnectException,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.client.HttpClients,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.cookie.LaxMaxAgeHandler,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.client.utils.URIBuilder,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.NotThreadSafe,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.conn.ssl.BrowserCompatHostnameVerifier,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.conn.Wire,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.execchain.RedirectExec,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.ThreadSafe,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.client.DefaultHttpRequestRetryHandler,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.execchain.TunnelRefusedException,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.client.protocol.RequestAuthCache,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.conn.DefaultSchemePortResolver,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.impl.auth.KerberosSchemeFactory,-,-,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.annotation.Immutable,public,org.apache.httpcomponents:httpcore:4.4.4,1
