Callee Library,Field Name,Declared Class,Actual Class,Field Signature,Static,Visibility,Field Library,Reflective,Count
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.example.GithubRepo::fork,us.codecraft.webmagic.example.GithubRepo,us.codecraft.webmagic.example.GithubRepo,int,false,private,us.codecraft:webmagic-extension:0.7.3,true,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.example.GithubRepo::name,us.codecraft.webmagic.example.GithubRepo,us.codecraft.webmagic.example.GithubRepo,java.lang.String,false,private,us.codecraft:webmagic-extension:0.7.3,true,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.model.PageModelExtractorTest$ModelDate::date,us.codecraft.webmagic.model.PageModelExtractorTest$ModelDate,us.codecraft.webmagic.model.PageModelExtractorTest$ModelDate,java.util.Date,false,private,unknownLib,true,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.model.PageModelExtractorTest$ModelIntList::numbers,us.codecraft.webmagic.model.PageModelExtractorTest$ModelIntList,us.codecraft.webmagic.model.PageModelExtractorTest$ModelIntList,java.util.List<java.lang.Integer>,false,private,unknownLib,true,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.example.GithubRepo::star,us.codecraft.webmagic.example.GithubRepo,us.codecraft.webmagic.example.GithubRepo,int,false,private,us.codecraft:webmagic-extension:0.7.3,true,1
org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.impl.DefaultConnectionReuseStrategy::INSTANCE,org.apache.http.impl.DefaultConnectionReuseStrategy,org.apache.http.impl.DefaultConnectionReuseStrategy,org.apache.http.impl.DefaultConnectionReuseStrategy,true,public,org.apache.httpcomponents:httpcore:4.4.4,false,1
org.slf4j:slf4j-log4j12:1.7.6,org.apache.log4j.Level::INFO,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,6
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.model.PageModelExtractorTest$ModelStringList::links,us.codecraft.webmagic.model.PageModelExtractorTest$ModelStringList,us.codecraft.webmagic.model.PageModelExtractorTest$ModelStringList,java.util.List<java.lang.String>,false,private,unknownLib,true,1
org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.entity.ContentType::APPLICATION_FORM_URLENCODED,org.apache.http.entity.ContentType,org.apache.http.entity.ContentType,org.apache.http.entity.ContentType,true,public,org.apache.httpcomponents:httpcore:4.4.4,false,1
org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.Consts::UTF_8,org.apache.http.Consts,org.apache.http.Consts,java.nio.charset.Charset,true,public,org.apache.httpcomponents:httpcore:4.4.4,false,8
com.jayway.jsonpath:json-path:2.4.0,net.minidev.json.writer.JsonReader::DEFAULT_ORDERED,net.minidev.json.writer.JsonReader,net.minidev.json.writer.JsonReader,net.minidev.json.writer.JsonReaderI<net.minidev.json.JSONAwareEx>,false,public,net.minidev:json-smart:2.3,false,2
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.model.PageModelExtractorTest$ModelUrl::name,us.codecraft.webmagic.model.PageModelExtractorTest$ModelUrl,us.codecraft.webmagic.model.PageModelExtractorTest$ModelUrl,java.lang.String,false,private,unknownLib,true,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.model.PageModelExtractorTest$ModelCustomList::dates,us.codecraft.webmagic.model.PageModelExtractorTest$ModelCustomList,us.codecraft.webmagic.model.PageModelExtractorTest$ModelCustomList,java.util.List<java.util.Date>,false,private,unknownLib,true,1
org.slf4j:slf4j-log4j12:1.7.6,org.apache.log4j.Level::DEBUG,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,12
org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.impl.entity.StrictContentLengthStrategy::INSTANCE,org.apache.http.impl.entity.StrictContentLengthStrategy,org.apache.http.impl.entity.StrictContentLengthStrategy,org.apache.http.impl.entity.StrictContentLengthStrategy,true,public,org.apache.httpcomponents:httpcore:4.4.4,false,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.model.PageModelExtractorTest$ModelInt::number,us.codecraft.webmagic.model.PageModelExtractorTest$ModelInt,us.codecraft.webmagic.model.PageModelExtractorTest$ModelInt,int,false,private,unknownLib,true,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.example.GithubRepo::language,us.codecraft.webmagic.example.GithubRepo,us.codecraft.webmagic.example.GithubRepo,java.util.List<java.lang.String>,false,private,us.codecraft:webmagic-extension:0.7.3,true,1
org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.impl.DefaultHttpResponseFactory::INSTANCE,org.apache.http.impl.DefaultHttpResponseFactory,org.apache.http.impl.DefaultHttpResponseFactory,org.apache.http.impl.DefaultHttpResponseFactory,true,public,org.apache.httpcomponents:httpcore:4.4.4,false,2
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.example.GithubRepo::readme,us.codecraft.webmagic.example.GithubRepo,us.codecraft.webmagic.example.GithubRepo,java.lang.String,false,private,us.codecraft:webmagic-extension:0.7.3,true,1
commons-logging:commons-logging:1.2,org.apache.log4j.Level::ERROR,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,3
commons-logging:commons-logging:1.2,org.apache.log4j.Level::FATAL,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,3
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateStr::dateStr,us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateStr,us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateStr,java.lang.String,false,private,unknownLib,true,1
commons-logging:commons-logging:1.2,org.apache.log4j.Level::WARN,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,3
org.slf4j:slf4j-log4j12:1.7.6,org.apache.log4j.Level::ERROR,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,10
org.slf4j:slf4j-log4j12:1.7.6,org.apache.log4j.Level::WARN,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,10
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.example.GithubRepo::author,us.codecraft.webmagic.example.GithubRepo,us.codecraft.webmagic.example.GithubRepo,java.lang.String,false,private,us.codecraft:webmagic-extension:0.7.3,true,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.example.GithubRepo::url,us.codecraft.webmagic.example.GithubRepo,us.codecraft.webmagic.example.GithubRepo,java.lang.String,false,private,us.codecraft:webmagic-extension:0.7.3,true,1
org.slf4j:slf4j-api:1.7.6,org.slf4j.impl.StaticLoggerBinder::REQUESTED_API_VERSION,org.slf4j.impl.StaticLoggerBinder,org.slf4j.impl.StaticLoggerBinder,java.lang.String,true,public,org.slf4j:slf4j-log4j12:1.7.6,false,1
org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.config.MessageConstraints::DEFAULT,org.apache.http.config.MessageConstraints,org.apache.http.config.MessageConstraints,org.apache.http.config.MessageConstraints,true,public,org.apache.httpcomponents:httpcore:4.4.4,false,1
org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.HttpVersion::HTTP_1_0,org.apache.http.HttpVersion,org.apache.http.HttpVersion,org.apache.http.HttpVersion,true,public,org.apache.httpcomponents:httpcore:4.4.4,false,1
org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.protocol.HTTP::DEF_CONTENT_CHARSET,org.apache.http.protocol.HTTP,org.apache.http.protocol.HTTP,java.nio.charset.Charset,true,public,org.apache.httpcomponents:httpcore:4.4.4,false,1
com.jayway.jsonpath:json-path:2.4.0,net.minidev.json.JSONStyle::LT_COMPRESS,net.minidev.json.JSONStyle,net.minidev.json.JSONStyle,net.minidev.json.JSONStyle,true,public,net.minidev:json-smart:2.3,false,2
us.codecraft:webmagic-core:0.7.3,org.apache.http.conn.socket.PlainConnectionSocketFactory::INSTANCE,org.apache.http.conn.socket.PlainConnectionSocketFactory,org.apache.http.conn.socket.PlainConnectionSocketFactory,org.apache.http.conn.socket.PlainConnectionSocketFactory,true,public,org.apache.httpcomponents:httpclient:4.5.2,false,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateList::dates,us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateList,us.codecraft.webmagic.model.PageModelExtractorTest$ModelDateList,java.util.List<java.util.Date>,false,private,unknownLib,true,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.model.PageModelExtractorTest$ModelJsonStr::name,us.codecraft.webmagic.model.PageModelExtractorTest$ModelJsonStr,us.codecraft.webmagic.model.PageModelExtractorTest$ModelJsonStr,java.lang.String,false,private,unknownLib,true,1
com.jayway.jsonpath:json-path:2.4.0,net.minidev.json.JSONValue::defaultReader,net.minidev.json.JSONValue,net.minidev.json.JSONValue,net.minidev.json.writer.JsonReader,true,public,net.minidev:json-smart:2.3,false,2
org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.impl.NoConnectionReuseStrategy::INSTANCE,org.apache.http.impl.NoConnectionReuseStrategy,org.apache.http.impl.NoConnectionReuseStrategy,org.apache.http.impl.NoConnectionReuseStrategy,true,public,org.apache.httpcomponents:httpcore:4.4.4,false,1
commons-logging:commons-logging:1.2,org.apache.log4j.Level::DEBUG,org.apache.log4j.Level,org.apache.log4j.Level,org.apache.log4j.Level,true,public,log4j:log4j:1.2.17,false,2
org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.config.SocketConfig::DEFAULT,org.apache.http.config.SocketConfig,org.apache.http.config.SocketConfig,org.apache.http.config.SocketConfig,true,public,org.apache.httpcomponents:httpcore:4.4.4,false,1
us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.model.GithubRepoApi::name,us.codecraft.webmagic.model.GithubRepoApi,us.codecraft.webmagic.model.GithubRepoApi,java.lang.String,false,private,unknownLib,true,1
