Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
org.apache.http.pool.AbstractConnPool::getPoolEntryBlocking(Ljava/lang/Object;Ljava/lang/Object;JLjava/util/concurrent/TimeUnit;Lorg/apache/http/pool/PoolEntryFuture;)Lorg/apache/http/pool/PoolEntry;	org.apache.httpcomponents:httpcore:4.4.4	private	org.apache.http.pool.AbstractConnPool::getPool(Ljava/lang/Object;)Lorg/apache/http/pool/RouteSpecificPool;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.impl.conn.CPool::getPool(Ljava/lang/Object;)Lorg/apache/http/pool/RouteSpecificPool;	org.apache.httpcomponents:httpclient:4.5.2	1	FALSE	FALSE	
us.codecraft.xsoup.xevaluator.DefaultXPathEvaluator::evaluate(Lorg/jsoup/nodes/Element;)Lus/codecraft/xsoup/XElements;	us.codecraft:xsoup:0.3.1	public	org.jsoup.select.Collector::collect(Lorg/jsoup/select/Evaluator;Lorg/jsoup/nodes/Element;)Lorg/jsoup/select/Elements;	org.jsoup:jsoup:1.10.3	org.jsoup.select.Collector::collect(Lorg/jsoup/select/Evaluator;Lorg/jsoup/nodes/Element;)Lorg/jsoup/select/Elements;	org.jsoup:jsoup:1.10.3	17	FALSE	FALSE	
us.codecraft.webmagic.downloader.HttpUriRequestConverter::convertHttpUriRequest(Lus/codecraft/webmagic/Request;Lus/codecraft/webmagic/Site;Lus/codecraft/webmagic/proxy/Proxy;)Lorg/apache/http/client/methods/HttpUriRequest;	us.codecraft:webmagic-core:0.7.3	public	org.apache.http.client.config.RequestConfig$Builder::setCookieSpec(Ljava/lang/String;)Lorg/apache/http/client/config/RequestConfig$Builder;	org.apache.httpcomponents:httpclient:4.5.2	org.apache.http.client.config.RequestConfig$Builder::setCookieSpec(Ljava/lang/String;)Lorg/apache/http/client/config/RequestConfig$Builder;	org.apache.httpcomponents:httpclient:4.5.2	1	FALSE	FALSE	
org.apache.http.impl.execchain.RedirectExec::RedirectExec(Lorg/apache/http/impl/execchain/ClientExecChain;Lorg/apache/http/conn/routing/HttpRoutePlanner;Lorg/apache/http/client/RedirectStrategy;)V	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	commons-logging:commons-logging:1.2	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	commons-logging:commons-logging:1.2	1	FALSE	FALSE	
org.apache.http.impl.client.InternalHttpClient::InternalHttpClient(Lorg/apache/http/impl/execchain/ClientExecChain;Lorg/apache/http/conn/HttpClientConnectionManager;Lorg/apache/http/conn/routing/HttpRoutePlanner;Lorg/apache/http/config/Lookup;Lorg/apache/http/config/Lookup;Lorg/apache/http/client/CookieStore;Lorg/apache/http/client/CredentialsProvider;Lorg/apache/http/client/config/RequestConfig;Ljava/util/List;)V	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	3	FALSE	FALSE	
org.apache.http.impl.DefaultBHttpClientConnection::bind(Ljava/net/Socket;)V	org.apache.httpcomponents:httpcore:4.4.4	protected	org.apache.http.impl.BHttpConnectionBase::bind(Ljava/net/Socket;)V	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.impl.conn.LoggingManagedHttpClientConnection::bind(Ljava/net/Socket;)V	org.apache.httpcomponents:httpclient:4.5.2	1	FALSE	FALSE	
us.codecraft.webmagic.scheduler.DuplicateRemovedScheduler::DuplicateRemovedScheduler()V	us.codecraft:webmagic-core:0.7.3	public	org.slf4j.LoggerFactory::getLogger(Ljava/lang/Class;)Lorg/slf4j/Logger;	org.slf4j:slf4j-api:1.7.6	org.slf4j.LoggerFactory::getLogger(Ljava/lang/Class;)Lorg/slf4j/Logger;	org.slf4j:slf4j-api:1.7.6	5	FALSE	FALSE	
us.codecraft.webmagic.model.PageModelExtractor::processSingle(Lus/codecraft/webmagic/Page;Ljava/lang/String;Z)Ljava/lang/Object;	us.codecraft:webmagic-extension:0.7.3	public	us.codecraft.webmagic.selector.Html::selectDocument(Lus/codecraft/webmagic/selector/Selector;)Ljava/lang/String;	us.codecraft:webmagic-core:0.7.3	us.codecraft.webmagic.selector.Html::selectDocument(Lus/codecraft/webmagic/selector/Selector;)Ljava/lang/String;	us.codecraft:webmagic-core:0.7.3	8	FALSE	FALSE	
org.apache.http.impl.execchain.RetryExec::execute(Lorg/apache/http/conn/routing/HttpRoute;Lorg/apache/http/client/methods/HttpRequestWrapper;Lorg/apache/http/client/protocol/HttpClientContext;Lorg/apache/http/client/methods/HttpExecutionAware;)Lorg/apache/http/client/methods/CloseableHttpResponse;	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	3	FALSE	FALSE	
us.codecraft.webmagic.model.PageModelExtractor::getSetterMethod(Ljava/lang/Class;Ljava/lang/reflect/Field;)Ljava/lang/reflect/Method;	us.codecraft:webmagic-extension:0.7.3	public	org.apache.commons.lang3.StringUtils::capitalize(Ljava/lang/String;)Ljava/lang/String;	org.apache.commons:commons-lang3:3.1	org.apache.commons.lang3.StringUtils::capitalize(Ljava/lang/String;)Ljava/lang/String;	org.apache.commons:commons-lang3:3.1	19	FALSE	FALSE	
org.apache.http.impl.conn.DefaultRoutePlanner::determineRoute(Lorg/apache/http/HttpHost;Lorg/apache/http/HttpRequest;Lorg/apache/http/protocol/HttpContext;)Lorg/apache/http/conn/routing/HttpRoute;	org.apache.httpcomponents:httpclient:4.5.2	public	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	org.apache.http.util.Args::notNull(Ljava/lang/Object;Ljava/lang/String;)Ljava/lang/Object;	org.apache.httpcomponents:httpcore:4.4.4	1	FALSE	FALSE	
