SubClass,Sub Library,Super Class/Interface,Super Class/Interface Visibility,Super Library,Count
org.apache.commons.logging.LogFactory$6,commons-logging:commons-logging:1.2,java.security.PrivilegedAction,public,java.security,1
org.apache.http.impl.conn.PoolingHttpClientConnectionManager$InternalConnectionFactory,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.pool.ConnFactory,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.http.client.methods.HttpUriRequest,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.HttpRequest,public,org.apache.httpcomponents:httpcore:4.4.4,1
us.codecraft.xsoup.xevaluator.XEvaluators$IsNthOfType,us.codecraft:xsoup:0.3.1,org.jsoup.select.Evaluator$CssNthEvaluator,public,org.jsoup:jsoup:1.10.3,1
org.apache.http.client.methods.CloseableHttpResponse,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.HttpResponse,public,org.apache.httpcomponents:httpcore:4.4.4,1
com.jayway.jsonpath.spi.mapper.JsonSmartMappingProvider$IntegerReader,com.jayway.jsonpath:json-path:2.4.0,net.minidev.json.writer.JsonReaderI,public,net.minidev:json-smart:2.3,1
org.apache.commons.logging.LogFactory$1,commons-logging:commons-logging:1.2,java.security.PrivilegedAction,public,java.security,1
us.codecraft.xsoup.xevaluator.CombiningEvaluator,us.codecraft:xsoup:0.3.1,org.jsoup.select.Evaluator,public,org.jsoup:jsoup:1.10.3,1
org.apache.http.client.methods.HttpRequestWrapper,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.message.AbstractHttpMessage,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.commons.logging.LogFactory$4,commons-logging:commons-logging:1.2,java.security.PrivilegedAction,public,java.security,1
org.apache.http.client.protocol.RequestDefaultHeaders,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.HttpRequestInterceptor,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.commons.logging.LogFactory$2,commons-logging:commons-logging:1.2,java.security.PrivilegedAction,public,java.security,1
org.apache.http.conn.ManagedHttpClientConnection,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.HttpInetConnection,public,org.apache.httpcomponents:httpcore:4.4.4,1
org.apache.commons.logging.LogFactory$3,commons-logging:commons-logging:1.2,java.security.PrivilegedAction,public,java.security,1
us.codecraft.webmagic.downloader.HttpClientGenerator$2,us.codecraft:webmagic-core:0.7.3,org.apache.http.HttpRequestInterceptor,public,org.apache.httpcomponents:httpcore:4.4.4,1
us.codecraft.webmagic.scheduler.RedisScheduler,us.codecraft:webmagic-extension:0.7.3,us.codecraft.webmagic.scheduler.MonitorableScheduler,public,us.codecraft:webmagic-core:0.7.3,1
us.codecraft.xsoup.xevaluator.StructuralEvaluator$Root,us.codecraft:xsoup:0.3.1,org.jsoup.select.Evaluator,public,org.jsoup:jsoup:1.10.3,1
org.apache.http.conn.ConnectionRequest,org.apache.httpcomponents:httpclient:4.5.2,org.apache.http.concurrent.Cancellable,public,org.apache.httpcomponents:httpcore:4.4.4,1
com.jayway.jsonpath.spi.mapper.JsonSmartMappingProvider$LongReader,com.jayway.jsonpath:json-path:2.4.0,net.minidev.json.writer.JsonReaderI,public,net.minidev:json-smart:2.3,1
