Caller Method,Caller Library,Callee Visibility,Declared Callee Method,Declared Callee Library,Actual Callee Method,Actual Callee Library,Count,Reflective,DynamicProxy,Service Bypass
us.codecraft.xsoup.xevaluator.DefaultXPathEvaluator::evaluate(Lorg/jsoup/nodes/Element;)Lus/codecraft/xsoup/XElements;,us.codecraft:xsoup:0.3.2,public,org.jsoup.select.Collector::collect(Lorg/jsoup/select/Evaluator;Lorg/jsoup/nodes/Element;)Lorg/jsoup/select/Elements;,org.jsoup:jsoup:1.13.1,org.jsoup.select.Collector::collect(Lorg/jsoup/select/Evaluator;Lorg/jsoup/nodes/Element;)Lorg/jsoup/select/Elements;,org.jsoup:jsoup:1.13.1,43,false,false,
us.codecraft.xsoup.xevaluator.DefaultXElements::initList()V,us.codecraft:xsoup:0.3.2,public,org.jsoup.select.Elements::iterator()Ljava/util/Iterator;,org.jsoup:jsoup:1.13.1,org.jsoup.select.Elements::iterator()Ljava/util/Iterator;,org.jsoup:jsoup:1.13.1,44,false,false,
us.codecraft.xsoup.xevaluator.StructuralEvaluator$Parent::matches(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)Z,us.codecraft:xsoup:0.3.2,public,org.jsoup.nodes.Element::parent()Lorg/jsoup/nodes/Element;,org.jsoup:jsoup:1.13.1,org.jsoup.nodes.Element::parent()Lorg/jsoup/nodes/Element;,org.jsoup:jsoup:1.13.1,127,false,false,
us.codecraft.xsoup.xevaluator.CombiningEvaluator$And::matches(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)Z,us.codecraft:xsoup:0.3.2,public,org.jsoup.select.Evaluator::matches(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)Z,org.jsoup:jsoup:1.13.1,org.jsoup.select.Evaluator$Attribute::matches(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)Z,org.jsoup:jsoup:1.13.1,10,false,false,
us.codecraft.xsoup.w3c.ElementAdaptor::hasChildNodes()Z,us.codecraft:xsoup:0.3.2,public,org.jsoup.select.Elements::isEmpty()Z,org.jsoup:jsoup:1.13.1,org.jsoup.select.Elements::isEmpty()Z,org.jsoup:jsoup:1.13.1,193,false,false,
us.codecraft.xsoup.xevaluator.ElementOperator$Regex::getSource(Lorg/jsoup/nodes/Element;)Ljava/lang/String;,us.codecraft:xsoup:0.3.2,public,org.jsoup.helper.Validate::notNull(Ljava/lang/Object;Ljava/lang/String;)V,org.jsoup:jsoup:1.13.1,org.jsoup.helper.Validate::notNull(Ljava/lang/Object;Ljava/lang/String;)V,org.jsoup:jsoup:1.13.1,2,false,false,
us.codecraft.xsoup.w3c.AttributeAdaptor::getNodeValue()Ljava/lang/String;,us.codecraft:xsoup:0.3.2,public,org.jsoup.nodes.Attribute::getValue()Ljava/lang/String;,org.jsoup:jsoup:1.13.1,org.jsoup.nodes.Attribute::getValue()Ljava/lang/String;,org.jsoup:jsoup:1.13.1,27,false,false,
us.codecraft.xsoup.xevaluator.CombiningEvaluator$And::matches(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)Z,us.codecraft:xsoup:0.3.2,public,org.jsoup.select.Evaluator::matches(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)Z,org.jsoup:jsoup:1.13.1,org.jsoup.select.Evaluator$Tag::matches(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)Z,org.jsoup:jsoup:1.13.1,237,false,false,
us.codecraft.xsoup.xevaluator.StructuralEvaluator$ImmediateParent::matches(Lorg/jsoup/nodes/Element;Lorg/jsoup/nodes/Element;)Z,us.codecraft:xsoup:0.3.2,public,org.jsoup.nodes.Element::parent()Lorg/jsoup/nodes/Element;,org.jsoup:jsoup:1.13.1,org.jsoup.nodes.Element::parent()Lorg/jsoup/nodes/Element;,org.jsoup:jsoup:1.13.1,18,false,false,
us.codecraft.xsoup.w3c.ElementAdaptor::getFirstChild()Lorg/w3c/dom/Node;,us.codecraft:xsoup:0.3.2,public,org.jsoup.nodes.Element::child(I)Lorg/jsoup/nodes/Element;,org.jsoup:jsoup:1.13.1,org.jsoup.nodes.Document::child(I)Lorg/jsoup/nodes/Element;,org.jsoup:jsoup:1.13.1,27,false,false,
