SubClass	Sub Library	Super Class/Interface	Super Class/Interface Visibility	Super Library	Count
us.codecraft.xsoup.xevaluator.XEvaluators$IsNthOfType	us.codecraft:xsoup:0.3.2	org.jsoup.select.Evaluator$CssNthEvaluator	public	org.jsoup:jsoup:1.13.1	1
us.codecraft.xsoup.w3c.AttributeAdaptor	us.codecraft:xsoup:0.3.2	org.w3c.dom.Attr	public	org.w3c.dom	1
us.codecraft.xsoup.xevaluator.CombiningEvaluator	us.codecraft:xsoup:0.3.2	org.jsoup.select.Evaluator	public	org.jsoup:jsoup:1.13.1	1
us.codecraft.xsoup.w3c.ElementAdaptor	us.codecraft:xsoup:0.3.2	org.w3c.dom.Element	public	org.w3c.dom	1
javax.xml.xpath.SecuritySupport$8	javax.xml.xpath	java.security.PrivilegedAction	public	java.security	1
us.codecraft.xsoup.xevaluator.StructuralEvaluator	us.codecraft:xsoup:0.3.2	org.jsoup.select.Evaluator	public	org.jsoup:jsoup:1.13.1	1
javax.xml.xpath.XPathFactoryFinder$2	javax.xml.xpath	java.security.PrivilegedAction	public	java.security	1
us.codecraft.xsoup.w3c.DocumentAdaptor	us.codecraft:xsoup:0.3.2	org.w3c.dom.Document	public	org.w3c.dom	1
javax.xml.xpath.SecuritySupport$2	javax.xml.xpath	java.security.PrivilegedAction	public	java.security	1
javax.xml.xpath.SecuritySupport$1	javax.xml.xpath	java.security.PrivilegedAction	public	java.security	1
us.codecraft.xsoup.xevaluator.XEvaluators$HasAnyAttribute	us.codecraft:xsoup:0.3.2	org.jsoup.select.Evaluator	public	org.jsoup:jsoup:1.13.1	1
us.codecraft.xsoup.w3c.NamedNodeMapAdaptor	us.codecraft:xsoup:0.3.2	org.w3c.dom.NamedNodeMap	public	org.w3c.dom	1
us.codecraft.xsoup.xevaluator.StructuralEvaluator$Root	us.codecraft:xsoup:0.3.2	org.jsoup.select.Evaluator	public	org.jsoup:jsoup:1.13.1	1
us.codecraft.xsoup.w3c.NodeAdaptor	us.codecraft:xsoup:0.3.2	org.w3c.dom.Node	public	org.w3c.dom	1
