CallerLibrary	ActualCalleeLibrary	ActualCalleeMethod	CalleeVisibility	Counts
"cn.wanghaomiao:JsoupXpath:2.5.0"	"org.jsoup:jsoup:1.14.1"	"org.jsoup.helper.Validate::notNull(Ljava/lang/Object;)V"	"public"	1
"com.alibaba:druid:1.2.5"	"net.sourceforge.jtds:jtds:1.3.0"	"net.sourceforge.jtds.jdbc.JtdsConnection::getRmHost()Ljava/lang/String;"	"public"	1
"com.alibaba:fastjson:1.2.76"	"java.security"	"java.security.BasicPermissionCollection::BasicPermissionCollection(Ljava/lang/Class;)V"	"public"	1
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::Cookie(Ljava/lang/String;Ljava/lang/String;)V"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::getComment()Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::getDomain()Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::getMaxAge()I"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::getName()Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::getPath()Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::getSecure()Z"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::getValue()Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::getVersion()I"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::isHttpOnly()Z"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::setHttpOnly(Z)V"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::setMaxAge(I)V"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::setSecure(Z)V"	"public"	2
"com.alibaba:fastjson:1.2.76"	"javax.servlet:javax.servlet-api:3.1.0"	"javax.servlet.http.Cookie::setVersion(I)V"	"public"	2
"com.alibaba:fastjson:1.2.76"	"joda-time:joda-time:2.10"	"org.joda.time.DateTimeUtils::currentTimeMillis()J"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.slf4j:slf4j-api:1.7.25"	"org.slf4j.LoggerFactory::getLogger(Ljava/lang/Class;)Lorg/slf4j/Logger;"	"public"	1
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-beans:4.3.7.RELEASE"	"org.springframework.beans.GenericTypeAwarePropertyDescriptor::getBeanClass()Ljava/lang/Class;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-beans:4.3.7.RELEASE"	"org.springframework.beans.GenericTypeAwarePropertyDescriptor::getPropertyEditorClass()Ljava/lang/Class;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-beans:4.3.7.RELEASE"	"org.springframework.beans.GenericTypeAwarePropertyDescriptor::getPropertyType()Ljava/lang/Class;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-beans:4.3.7.RELEASE"	"org.springframework.beans.GenericTypeAwarePropertyDescriptor::getReadMethod()Ljava/lang/reflect/Method;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-beans:4.3.7.RELEASE"	"org.springframework.beans.GenericTypeAwarePropertyDescriptor::getWriteMethod()Ljava/lang/reflect/Method;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-beans:4.3.7.RELEASE"	"org.springframework.beans.GenericTypeAwarePropertyDescriptor::getWriteMethodForActualAccess()Ljava/lang/reflect/Method;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-beans:4.3.7.RELEASE"	"org.springframework.beans.GenericTypeAwarePropertyDescriptor::getWriteMethodParameter()Lorg/springframework/core/MethodParameter;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractBindingResult::getAllErrors()Ljava/util/List;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractBindingResult::getErrorCount()I"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractBindingResult::getFieldError()Lorg/springframework/validation/FieldError;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractBindingResult::getFieldErrors()Ljava/util/List;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractBindingResult::getGlobalError()Lorg/springframework/validation/ObjectError;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractBindingResult::getGlobalErrors()Ljava/util/List;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractBindingResult::getMessageCodesResolver()Lorg/springframework/validation/MessageCodesResolver;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractBindingResult::getModel()Ljava/util/Map;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractBindingResult::getObjectName()Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractBindingResult::getSuppressedFields()[Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractErrors::getFieldErrorCount()I"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractErrors::getGlobalErrorCount()I"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractErrors::getNestedPath()Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.AbstractPropertyBindingResult::getPropertyEditorRegistry()Lorg/springframework/beans/PropertyEditorRegistry;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.BeanPropertyBindingResult::getPropertyAccessor()Lorg/springframework/beans/ConfigurablePropertyAccessor;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.BeanPropertyBindingResult::getTarget()Ljava/lang/Object;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getAllowedFields()[Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getAutoGrowCollectionLimit()I"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getBindingErrorProcessor()Lorg/springframework/validation/BindingErrorProcessor;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getBindingResult()Lorg/springframework/validation/BindingResult;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getConversionService()Lorg/springframework/core/convert/ConversionService;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getDisallowedFields()[Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getObjectName()Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getRequiredFields()[Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getTarget()Ljava/lang/Object;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getValidator()Lorg/springframework/validation/Validator;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::getValidators()Ljava/util/List;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::isAutoGrowNestedPaths()Z"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::isIgnoreInvalidFields()Z"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-context:4.3.7.RELEASE"	"org.springframework.validation.DataBinder::isIgnoreUnknownFields()Z"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-core:4.3.7.RELEASE"	"org.springframework.core.io.FileSystemResource::getPath()Ljava/lang/String;"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-core:4.3.7.RELEASE"	"org.springframework.util.ObjectUtils::isEmpty(Ljava/lang/Object;)Z"	"public"	2
"com.alibaba:fastjson:1.2.76"	"org.springframework:spring-web:4.3.7.RELEASE"	"org.springframework.web.bind.WebDataBinder::getFieldDefaultPrefix()Ljava/lang/String;"	"public"	2
