CallerLibrary	CallerMethod	CalleeLibrary	setAccessible.CalledOn	Visibility	CalleeName	FieldSignature	Counts
"cn.wanghaomiao:JsoupXpath"	"org.seimicrawler.xpath.core.node.Text$1::head(Lorg/jsoup/nodes/Node;I)V"	"org.jsoup:jsoup:1.14.1"	"java.lang.reflect.Method"	"protected"	"org.jsoup.nodes.Node::setParentNode(Lorg/jsoup/nodes/Node;)V"	NA	1
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::comment"	"java.lang.String"	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::domain"	"java.lang.String"	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::isHttpOnly"	"boolean"	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::maxAge"	"int"	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::name"	"java.lang.String"	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::path"	"java.lang.String"	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::secure"	"boolean"	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::value"	"java.lang.String"	2
"com.alibaba:fastjson"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::version"	"int"	2
