CallerLibrary	CallerMethod	CalleeLibrary	setAccessible.CalledOn	Visibility	CalleeName	FieldSignature	Counts
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaFieldReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Field"	"private"	"br.com.caelum.vraptor.observer.ParametersInstantiator::errors"	"java.util.List<br.com.caelum.vraptor.validator.Message>"	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.Result::forwardTo(Ljava/lang/String;)V"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.serialization.NoRootSerialization::from(Ljava/lang/Object;)Lbr/com/caelum/vraptor/serialization/Serializer;"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.serialization.Serializer::exclude([Ljava/lang/String;)Lbr/com/caelum/vraptor/serialization/Serializer;"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.serialization.Serializer::include([Ljava/lang/String;)Lbr/com/caelum/vraptor/serialization/Serializer;"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.serialization.Serializer::serialize()V"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.HttpResult::addDateHeader(Ljava/lang/String;J)Lbr/com/caelum/vraptor/view/HttpResult;"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.HttpResult::addHeader(Ljava/lang/String;Ljava/lang/String;)Lbr/com/caelum/vraptor/view/HttpResult;"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.HttpResult::addIntHeader(Ljava/lang/String;I)Lbr/com/caelum/vraptor/view/HttpResult;"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.HttpResult::sendError(I)V"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.HttpResult::sendError(ILjava/lang/String;)V"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.HttpResult::setStatusCode(I)V"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.LogicResult::forwardTo(Ljava/lang/Class;)Ljava/lang/Object;"	""	1
"net.vidageek:mirror"	"net.vidageek.mirror.provider.java.PureJavaMethodReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Method"	"public"	"br.com.caelum.vraptor.view.PageResult::forwardTo(Ljava/lang/String;)V"	""	1
