CallerLibrary	CallerMethod	CalleeLibrary	setAccessible.CalledOn	Visibility	CalleeName	FieldSignature	Counts
"net.vidageek:mirror:1.6.1"	"net.vidageek.mirror.provider.java.PureJavaFieldReflectionProvider::setAccessible()V"	"br.com.caelum:vraptor:4.2.2"	"java.lang.reflect.Field"	"private"	"br.com.caelum.vraptor.observer.ParametersInstantiator::errors"	"java.util.List<br.com.caelum.vraptor.validator.Message>"	1
"org.codehaus.groovy:groovy:2.4.0"	"org.codehaus.groovy.reflection.CachedConstructor$1::run()Ljava/lang/Object;"	"ch.qos.logback:logback-classic:1.2.5"	"java.lang.reflect.Constructor"	"default"	"ch.qos.logback.classic.Logger::ch.qos.logback.classic.Logger(Ljava/lang/String;Lch/qos/logback/classic/Logger;Lch/qos/logback/classic/LoggerContext;)V"	NA	1
"org.codehaus.groovy:groovy:2.4.0"	"org.codehaus.groovy.reflection.CachedConstructor$1::run()Ljava/lang/Object;"	"ch.qos.logback:logback-core:1.2.5"	"java.lang.reflect.Constructor"	"private"	"ch.qos.logback.core.joran.util.ConfigurationWatchListUtil::ch.qos.logback.core.joran.util.ConfigurationWatchListUtil()V"	NA	1
"org.codehaus.groovy:groovy:2.4.0"	"org.codehaus.groovy.reflection.CachedConstructor$1::run()Ljava/lang/Object;"	"org.slf4j:slf4j-api:1.7.31"	"java.lang.reflect.Constructor"	"private"	"org.slf4j.LoggerFactory::org.slf4j.LoggerFactory()V"	NA	1
"cn.wanghaomiao:JsoupXpath:2.5.0"	"org.seimicrawler.xpath.core.node.Text$1::head(Lorg/jsoup/nodes/Node;I)V"	"org.jsoup:jsoup:1.14.1"	"java.lang.reflect.Method"	"protected"	"org.jsoup.nodes.Node::setParentNode(Lorg/jsoup/nodes/Node;)V"	NA	1
"com.alibaba:fastjson:1.2.76"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::comment"	"java.lang.String"	1
"com.alibaba:fastjson:1.2.76"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::domain"	"java.lang.String"	1
"com.alibaba:fastjson:1.2.76"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::isHttpOnly"	"boolean"	1
"com.alibaba:fastjson:1.2.76"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::maxAge"	"int"	1
"com.alibaba:fastjson:1.2.76"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::name"	"java.lang.String"	1
"com.alibaba:fastjson:1.2.76"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::path"	"java.lang.String"	1
"com.alibaba:fastjson:1.2.76"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::secure"	"boolean"	1
"com.alibaba:fastjson:1.2.76"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::value"	"java.lang.String"	1
"com.alibaba:fastjson:1.2.76"	"com.alibaba.fastjson.util.TypeUtils::setAccessible(Ljava/lang/reflect/AccessibleObject;)V"	"javax.servlet:javax.servlet-api:3.1.0"	"java.lang.reflect.Field"	"private"	"javax.servlet.http.Cookie::version"	"int"	1
