Class Name	Class Visibility	Class Library	Usage	Used In Library
com.nqzero.permit.Permit	public	com.nqzero:permit-reflect:0.3	method call	ysoserial:ysoserial:0.0.6-SNAPSHOT
org.slf4j.spi.LocationAwareLogger	public	org.slf4j:slf4j-api:1.7.21	subtyping	org.slf4j:slf4j-jdk14:1.7.21
java.lang.String	public	unknownLib	Class.forName	rhino:js:1.7R2
groovy.lang.MetaProperty	public	org.codehaus.groovy:groovy:2.3.9	Class.forName	org.codehaus.groovy:groovy:2.3.9
java.security.CodeSource	public	java.security	instantiation	xml-apis:xml-apis:1.0.b2
org.mozilla.javascript.MemberBox	default	rhino:js:1.7R2	Class.forName	ysoserial:ysoserial:0.0.6-SNAPSHOT
org.apache.el.ExpressionFactoryImpl	public	org.mortbay.jasper:apache-el:8.0.27	Class.forName	org.mortbay.jasper:apache-el:8.0.27
java.io.BufferedOutputStream	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:2.3.9
org.mozilla.javascript.Interpreter	public	rhino:js:1.7R2	Class.forName	rhino:js:1.7R2
ysoserial.payloads.URLDNS	public	ysoserial:ysoserial:0.0.6-SNAPSHOT	Class.forName	org.reflections:reflections:0.9.9
com.mchange.v2.c3p0.PoolBackedDataSource	public	com.mchange:c3p0:0.9.5.2	cast	ysoserial:ysoserial:0.0.6-SNAPSHOT
java.lang.Character	public	unknownLib	Class.forName	rhino:js:1.7R2
org.jboss.interceptor.spi.metadata.InterceptorReference	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	subtyping	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final
java.io.Writer	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:2.3.9
org.jboss.interceptor.spi.context.InterceptionChain	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	subtyping	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final
groovy.lang.SpreadMap	public	org.codehaus.groovy:groovy:2.3.9	Class.forName	org.codehaus.groovy:groovy:2.3.9
javax.el.MethodExpression	public	org.mortbay.jasper:apache-el:8.0.27	cast	org.apache.myfaces.core:myfaces-api:2.2.9
javax.annotation.PostConstruct	public	javax.annotation:jsr250-api:1.0	Class.forName	org.jboss.weld:weld-core:1.1.33.Final
org.codehaus.groovy.runtime.MethodClosure	public	org.codehaus.groovy:groovy:2.3.9	instantiation	ysoserial:ysoserial:0.0.6-SNAPSHOT
java.sql.Timestamp	public	java.sql	Class.forName	org.codehaus.groovy:groovy:2.3.9
ysoserial.payloads.ReleaseableObjectPayload	public	ysoserial:ysoserial:0.0.6-SNAPSHOT	Class.forName	org.reflections:reflections:0.9.9
org.jboss.interceptor.spi.model.InterceptionType	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	cast	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final
java.util.AbstractMap	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:2.3.9
org.jboss.interceptor.reader.ClassMetadataInterceptorReference	public	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	method call	ysoserial:ysoserial:0.0.6-SNAPSHOT
java.util.Collection	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:2.3.9
ysoserial.payloads.MozillaRhino2	public	ysoserial:ysoserial:0.0.6-SNAPSHOT	method call	rhino:js:1.7R2
org.apache.commons.io.output.DeferredFileOutputStream	public	commons-io:commons-io:2.6	method call	commons-fileupload:commons-fileupload:1.3
com.google.common.base.Predicates$ObjectPredicate$1	default	com.google.guava:guava:15.0	method call	org.reflections:reflections:0.9.9
org.jboss.shrinkwrap.resolver.spi.loader.ServiceLoader	public	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-spi:2.2.6	Class.forName	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api:2.2.6
org.hibernate.annotations.common.reflection.XProperty	public	org.hibernate.common:hibernate-commons-annotations:4.0.5.Final	cast	org.hibernate:hibernate-core:4.3.11.Final
ysoserial.payloads.JRMPListener	public	ysoserial:ysoserial:0.0.6-SNAPSHOT	Class.forName	org.reflections:reflections:0.9.9
ysoserial.payloads.Groovy1	public	ysoserial:ysoserial:0.0.6-SNAPSHOT	Class.forName	org.reflections:reflections:0.9.9
org.mozilla.javascript.Function	public	rhino:js:1.7R2	Class.forName	rhino:js:1.7R2
java.util.Locale	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:2.3.9
bsh.Interpreter	public	org.beanshell:bsh:2.0b5	instantiation	ysoserial:ysoserial:0.0.6-SNAPSHOT
javax.annotation.PostConstruct	public	javax.annotation:jsr250-api:1.0	Class.forName	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final
groovy.lang.IntRange	public	org.codehaus.groovy:groovy:2.3.9	Class.forName	org.codehaus.groovy:groovy:2.3.9
org.jboss.weld.interceptor.reader.ReflectiveClassMetadata	public	org.jboss.weld:weld-core:1.1.33.Final	cast	ysoserial:ysoserial:0.0.6-SNAPSHOT
javax.servlet.ServletResponse	public	javax.servlet:javax.servlet-api:3.1.0	cast	org.apache.myfaces.core:myfaces-impl:2.2.9
org.jboss.interceptor.spi.model.InterceptionModel	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	subtyping	org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final
javax.servlet.http.HttpServletRequest	public	javax.servlet:javax.servlet-api:3.1.0	cast	org.apache.myfaces.core:myfaces-impl:2.2.9
org.slf4j.impl.StaticLoggerBinder	public	org.slf4j:slf4j-jdk14:1.7.21	method call	org.slf4j:slf4j-api:1.7.21
net.sf.ezmorph.bean.BeanMorpher	public	net.sf.ezmorph:ezmorph:1.0.6	instantiation	net.sf.json-lib:json-lib:jdk15
sun.security.provider.NativePRNG	public	unknownLib	Class.forName	java.security
com.mchange.v2.log.MLog	public	com.mchange:mchange-commons-java:0.2.11	method call	com.mchange:c3p0:0.9.5.2
org.slf4j.LoggerFactory	public	org.slf4j:slf4j-api:1.7.21	method call	org.reflections:reflections:0.9.9
ysoserial.payloads.Wicket1	public	ysoserial:ysoserial:0.0.6-SNAPSHOT	Class.forName	org.reflections:reflections:0.9.9
java.lang.String	public	unknownLib	Class.forName	rome:rome:1.0
java.util.SortedMap	public	unknownLib	Class.forName	org.codehaus.groovy:groovy:2.3.9
java.lang.Character	public	unknownLib	Class.forName	rome:rome:1.0
javax.servlet.ServletResponse	public	javax.servlet:javax.servlet-api:3.1.0	cast	ysoserial:ysoserial:0.0.6-SNAPSHOT
