Caller Library	Field Name	Declared Class	Actual Class	Field Signature	Static	Visibility	Field Library	Reflective	Count
ysoserial:ysoserial:0.0.6-SNAPSHOT	java.util.PriorityQueue::size	java.util.PriorityQueue	java.util.PriorityQueue	int	false	private	unknownLib	true	1
com.mchange:c3p0:0.9.5.2	com.mchange.v2.log.MLevel::INFO	com.mchange.v2.log.MLevel	com.mchange.v2.log.MLevel	com.mchange.v2.log.MLevel	true	public	com.mchange:mchange-commons-java:0.2.11	false	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.wicket.util.upload.DiskFileItem::dfos	org.apache.wicket.util.upload.DiskFileItem	org.apache.wicket.util.upload.DiskFileItem	org.apache.wicket.util.io.DeferredFileOutputStream	false	private	org.apache.wicket:wicket-util:6.23.0	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.wicket.util.io.DeferredFileOutputStream::written	org.apache.wicket.util.io.ThresholdingOutputStream	org.apache.wicket.util.io.DeferredFileOutputStream	long	false	private	org.apache.wicket:wicket-util:6.23.0	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.hibernate.EntityMode::POJO	org.hibernate.EntityMode	org.hibernate.EntityMode	org.hibernate.EntityMode	true	public	org.hibernate:hibernate-core:4.3.11.Final	false	3
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.commons.io.output.DeferredFileOutputStream::memoryOutputStream	org.apache.commons.io.output.DeferredFileOutputStream	org.apache.commons.io.output.DeferredFileOutputStream	org.apache.commons.io.output.ByteArrayOutputStream	false	private	commons-io:commons-io:2.6	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.hibernate.tuple.component.PojoComponentTuplizer::getters	org.hibernate.tuple.component.AbstractComponentTuplizer	org.hibernate.tuple.component.PojoComponentTuplizer	org.hibernate.property.Getter[]	false	protected	org.hibernate:hibernate-core:4.3.11.Final	true	2
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.apache.wicket.util.io.DeferredFileOutputStream::memoryOutputStream	org.apache.wicket.util.io.DeferredFileOutputStream	org.apache.wicket.util.io.DeferredFileOutputStream	org.apache.wicket.util.io.ByteArrayOutputStream	false	private	org.apache.wicket:wicket-util:6.23.0	true	1
ysoserial:ysoserial:0.0.6-SNAPSHOT	org.hibernate.type.ComponentType::propertySpan	org.hibernate.type.ComponentType	org.hibernate.type.ComponentType	int	false	protected	org.hibernate:hibernate-core:4.3.11.Final	true	2
org.jboss.interceptor:jboss-interceptor-core:2.0.0.Final	org.jboss.interceptor.spi.model.InterceptionType::PRE_PASSIVATE	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	org.jboss.interceptor.spi.model.InterceptionType	true	public	org.jboss.interceptor:jboss-interceptor-spi:2.0.0.Final	false	2
org.jboss.weld:weld-core:1.1.33.Final	javax.enterprise.inject.spi.InterceptionType::PRE_DESTROY	javax.enterprise.inject.spi.InterceptionType	javax.enterprise.inject.spi.InterceptionType	javax.enterprise.inject.spi.InterceptionType	true	public	javax.enterprise:cdi-api:1.0-SP1	false	1
