Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Service Bypass
com.mchange.v2.log.slf4j.Slf4jMLog$Slf4jMLogger$InfoLogger::log(Ljava/lang/String;)V	com.mchange:mchange-commons-java:0.2.11	public	org.slf4j.Logger::info(Ljava/lang/String;)V	org.slf4j:slf4j-api:1.7.21	org.slf4j.impl.JDK14LoggerAdapter::info(Ljava/lang/String;)V	org.slf4j:slf4j-jdk14:1.7.21	1	false	false	
ysoserial.payloads.util.Gadgets::createTemplatesImpl(Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Class;Ljava/lang/Class;)Ljava/lang/Object;	ysoserial:ysoserial:0.0.6-SNAPSHOT	public	javassist.CtConstructor::insertAfter(Ljava/lang/String;)V	org.javassist:javassist:3.19.0-GA	javassist.CtConstructor::insertAfter(Ljava/lang/String;)V	org.javassist:javassist:3.19.0-GA	14	false	false	
ysoserial.payloads.ObjectPayload$Utils::getPayloadClasses()Ljava/util/Set;	ysoserial:ysoserial:0.0.6-SNAPSHOT	public	org.reflections.Reflections::getSubTypesOf(Ljava/lang/Class;)Ljava/util/Set;	org.reflections:reflections:0.9.9	org.reflections.Reflections::getSubTypesOf(Ljava/lang/Class;)Ljava/util/Set;	org.reflections:reflections:0.9.9	1	false	false	
com.mchange.v2.log.slf4j.Slf4jMLog$Slf4jMLogger::levelLogger(Lcom/mchange/v2/log/MLevel;)Lcom/mchange/v2/log/slf4j/Slf4jMLog$Slf4jMLogger$LevelLogger;	com.mchange:mchange-commons-java:0.2.11	public	org.slf4j.Logger::isInfoEnabled()Z	org.slf4j:slf4j-api:1.7.21	org.slf4j.impl.JDK14LoggerAdapter::isInfoEnabled()Z	org.slf4j:slf4j-jdk14:1.7.21	2	false	false	
ysoserial.payloads.Click1::getObject(Ljava/lang/String;)Ljava/lang/Object;	ysoserial:ysoserial:0.0.6-SNAPSHOT	public	org.apache.click.control.Column::setTable(Lorg/apache/click/control/Table;)V	org.apache.click:click-nodeps:2.3.0	org.apache.click.control.Column::setTable(Lorg/apache/click/control/Table;)V	org.apache.click:click-nodeps:2.3.0	1	false	false	
org.slf4j.LoggerFactory::getILoggerFactory()Lorg/slf4j/ILoggerFactory;	org.slf4j:slf4j-api:1.7.21	public	org.slf4j.impl.StaticLoggerBinder::getSingleton()Lorg/slf4j/impl/StaticLoggerBinder;	org.slf4j:slf4j-jdk14:1.7.21	org.slf4j.impl.StaticLoggerBinder::getSingleton()Lorg/slf4j/impl/StaticLoggerBinder;	org.slf4j:slf4j-jdk14:1.7.21	17	false	false	
org.apache.commons.beanutils.BeanUtilsBean::BeanUtilsBean(Lorg/apache/commons/beanutils/ConvertUtilsBean;Lorg/apache/commons/beanutils/PropertyUtilsBean;)V	commons-beanutils:commons-beanutils:1.9.2	public	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	commons-logging:commons-logging:1.1.1	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	commons-logging:commons-logging:1.1.1	1	false	false	
org.reflections.adapters.JavassistAdapter::getInterfacesNames(Ljavassist/bytecode/ClassFile;)Ljava/util/List;	org.reflections:reflections:0.9.9	public	javassist.bytecode.ClassFile::getInterfaces()[Ljava/lang/String;	org.javassist:javassist:3.19.0-GA	javassist.bytecode.ClassFile::getInterfaces()[Ljava/lang/String;	org.javassist:javassist:3.19.0-GA	55	false	false	
org.jboss.weld.logging.WeldMessageConveyor::WeldMessageConveyor(Ljava/util/Locale;Ljava/lang/String;)V	org.jboss.weld:weld-core:1.1.33.Final	public	com.google.common.cache.CacheBuilder::newBuilder()Lcom/google/common/cache/CacheBuilder;	com.google.guava:guava:15.0	com.google.common.cache.CacheBuilder::newBuilder()Lcom/google/common/cache/CacheBuilder;	com.google.guava:guava:15.0	1	false	false	
org.reflections.util.ConfigurationBuilder::build([Ljava/lang/Object;)Lorg/reflections/util/ConfigurationBuilder;	org.reflections:reflections:0.9.9	public	com.google.common.collect.Lists::newArrayList()Ljava/util/ArrayList;	com.google.guava:guava:15.0	com.google.common.collect.Lists::newArrayList()Ljava/util/ArrayList;	com.google.guava:guava:15.0	3	false	false	
org.jboss.shrinkwrap.resolver.api.Invokable::invokeMethod(Ljava/lang/String;[Ljava/lang/Class;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api:2.2.6	public	org.jboss.shrinkwrap.resolver.spi.loader.SpiServiceLoader::onlyOne(Ljava/lang/Class;Ljava/lang/Class;)Ljava/lang/Object;	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-spi:2.2.6	org.jboss.shrinkwrap.resolver.spi.loader.SpiServiceLoader::onlyOne(Ljava/lang/Class;Ljava/lang/Class;)Ljava/lang/Object;	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-spi:2.2.6	25	true	false	
org.apache.el.lang.ExpressionBuilder::ExpressionBuilder(Ljava/lang/String;Ljavax/el/ELContext;)V	org.mortbay.jasper:apache-el:8.0.27	public	javax.el.ELContext::getVariableMapper()Ljavax/el/VariableMapper;	org.mortbay.jasper:apache-el:8.0.27	org.apache.myfaces.el.unified.FacesELContext::getVariableMapper()Ljavax/el/VariableMapper;	org.apache.myfaces.core:myfaces-impl:2.2.9	2	false	false	
com.mchange.v2.c3p0.impl.PoolBackedDataSourceBase::writeObject(Ljava/io/ObjectOutputStream;)V	com.mchange:c3p0:0.9.5.2	public	com.mchange.v2.ser.SerializableUtils::toByteArray(Ljava/lang/Object;)[B	com.mchange:mchange-commons-java:0.2.11	com.mchange.v2.ser.SerializableUtils::toByteArray(Ljava/lang/Object;)[B	com.mchange:mchange-commons-java:0.2.11	2	false	false	
org.apache.commons.beanutils.DefaultBeanIntrospector::DefaultBeanIntrospector()V	commons-beanutils:commons-beanutils:1.9.2	public	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	commons-logging:commons-logging:1.1.1	org.apache.commons.logging.LogFactory::getLog(Ljava/lang/Class;)Lorg/apache/commons/logging/Log;	commons-logging:commons-logging:1.1.1	1	false	false	
ysoserial.payloads.util.Gadgets::createTemplatesImpl(Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Class;Ljava/lang/Class;)Ljava/lang/Object;	ysoserial:ysoserial:0.0.6-SNAPSHOT	public	javassist.CtClass::setName(Ljava/lang/String;)V	org.javassist:javassist:3.19.0-GA	javassist.CtClassType::setName(Ljava/lang/String;)V	javassist:javassist:3.12.0.GA	14	false	false	
org.jboss.shrinkwrap.resolver.api.Invokable::invokeMethod(Ljava/lang/String;[Ljava/lang/Class;Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-api:2.2.6	public	org.jboss.shrinkwrap.resolver.spi.loader.ServiceRegistry::register(Lorg/jboss/shrinkwrap/resolver/spi/loader/ServiceRegistry;)V	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-spi:2.2.6	org.jboss.shrinkwrap.resolver.spi.loader.ServiceRegistry::register(Lorg/jboss/shrinkwrap/resolver/spi/loader/ServiceRegistry;)V	org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-spi:2.2.6	25	true	false	
org.reflections.Reflections::scan()V	org.reflections:reflections:0.9.9	public	com.google.common.collect.Multimap::keySet()Ljava/util/Set;	com.google.guava:guava:15.0	com.google.common.collect.Multimaps$CustomSetMultimap::keySet()Ljava/util/Set;	com.google.guava:guava:15.0	2	false	false	
