Library Name	No. of Public/Protected Methods	No. of Public/Protected Classes	No. of Public/Protected Fields	No. of Public/Protected Annotations	No. of Methods Called By Tests	Methods	Classes	Fields	Annotations
unknownLib	0	0	0	0	0	 
org.apache.velocity:velocity:1.7	1499	235	369	0	0		org.apache.velocity.util.introspection.AbstractChainableUberspector:org.apache.velocity.util.introspection.VelPropertySet:org.apache.velocity.runtime.log.RuntimeLoggerLog:org.apache.velocity.anakia.AnakiaElement:org.apache.velocity.app.event.ReferenceInsertionEventHandler$referenceInsertExecutor:org.apache.velocity.runtime.parser.node.ASTAndNode:org.apache.velocity.runtime.log.SystemLogChute:org.apache.velocity.runtime.parser.node.ASTIdentifier:org.apache.velocity.exception.TemplateInitException:org.apache.velocity.util.introspection.LinkingUberspector:org.apache.velocity.context.Context:org.apache.velocity.runtime.parser.ParserConstants:org.apache.velocity.runtime.log.Log4JLogSystem:org.apache.velocity.runtime.resource.ContentResource:org.apache.velocity.runtime.parser.Token:org.apache.velocity.runtime.parser.node.ASTElseStatement:org.apache.velocity.app.event.implement.IncludeNotFound:org.apache.velocity.exception.VelocityException:org.apache.velocity.runtime.resource.ResourceCacheImpl:org.apache.velocity.util.introspection.IntrospectionCacheData:org.apache.velocity.util.ArrayIterator:org.apache.velocity.texen.util.FileUtil:org.apache.velocity.util.introspection.IntrospectorBase:org.apache.velocity.runtime.parser.node.ASTLTNode:org.apache.velocity.runtime.parser.node.ASTStringLiteral:org.apache.velocity.runtime.visitor.BaseVisitor:org.apache.velocity.runtime.parser.node.ASTGENode:org.apache.velocity.runtime.RuntimeLogger:org.apache.velocity.anakia.NodeList$1:org.apache.velocity.runtime.directive.Foreach$1:org.apache.velocity.app.event.implement.EscapeXmlReference:org.apache.velocity.runtime.parser.ParserTokenManager$1:org.apache.velocity.runtime.parser.node.ASTText:org.apache.velocity.runtime.parser.node.ASTFalse:org.apache.velocity.runtime.parser.node.NodeUtils:org.apache.velocity.runtime.resource.loader.DataSourceResourceLoader:org.apache.velocity.util.introspection.UberspectLoggable:org.apache.velocity.util.introspection.Uberspect:org.apache.velocity.runtime.parser.node.ASTMulNode:org.apache.velocity.runtime.log.VelocityFormatter:org.apache.velocity.runtime.resource.util.StringResourceRepositoryImpl:org.apache.velocity.util.introspection.UberspectImpl:org.apache.velocity.runtime.RuntimeConstants:org.apache.velocity.context.InternalWrapperContext:org.apache.velocity.runtime.resource.loader.ClasspathResourceLoader:org.apache.velocity.util.TemplateNumber:org.apache.velocity.runtime.log.SimpleLog4JLogSystem:org.apache.velocity.runtime.parser.Parser$LookaheadSuccess:org.apache.velocity.context.ChainedInternalContextAdapter:org.apache.velocity.anakia.Escape:org.apache.velocity.app.event.EventHandler:org.apache.velocity.runtime.ParserPool:org.apache.velocity.runtime.parser.ParseException:org.apache.velocity.util.introspection.Introspector:org.apache.velocity.util.ArrayListWrapper:org.apache.velocity.app.event.implement.ReportInvalidReferences:org.apache.velocity.runtime.log.LogChute:org.apache.velocity.context.InternalContextAdapter:org.apache.velocity.runtime.VelocimacroFactory$Twonk:org.apache.velocity.runtime.log.NullLogChute:org.apache.velocity.runtime.parser.node.ASTOrNode:org.apache.velocity.context.InternalContextAdapterImpl:org.apache.velocity.runtime.Renderable:org.apache.velocity.exception.MathException:org.apache.velocity.util.introspection.ClassMap$MethodCache:org.apache.velocity.runtime.parser.node.ASTLENode:org.apache.velocity.runtime.parser.Parser:org.apache.velocity.runtime.parser.node.ASTIntegerRange:org.apache.velocity.runtime.directive.InputBase:org.apache.velocity.runtime.parser.node.ASTElseIfStatement:org.apache.velocity.texen.util.PropertiesUtil:org.apache.velocity.runtime.parser.node.ASTIncludeStatement:org.apache.velocity.runtime.directive.Foreach$NullHolderContext:org.apache.velocity.runtime.parser.node.ASTBlock:org.apache.velocity.runtime.directive.StopCommand:org.apache.velocity.runtime.parser.node.BooleanPropertyExecutor:org.apache.velocity.runtime.parser.TokenMgrError:org.apache.velocity.util.introspection.VelMethod:org.apache.velocity.runtime.directive.Block$Reference:org.apache.velocity.runtime.parser.node.ASTObjectArray:org.apache.velocity.runtime.parser.JJTParserState:org.apache.velocity.context.InternalEventContext:org.apache.velocity.texen.Generator:org.apache.velocity.runtime.directive.Evaluate:org.apache.velocity.runtime.parser.ParserTreeConstants:org.apache.velocity.runtime.RuntimeInstance:org.apache.velocity.runtime.parser.node.ASTExpression:org.apache.velocity.context.InternalHousekeepingContext:org.apache.velocity.runtime.log.LogChuteSystem:org.apache.velocity.app.VelocityEngine:org.apache.velocity.runtime.directive.MacroParseException:org.apache.velocity.runtime.parser.node.ASTDivNode:org.apache.velocity.runtime.parser.node.ASTDirective:org.apache.velocity.io.UnicodeInputStream$1:org.apache.velocity.runtime.parser.node.ParserVisitor:org.apache.velocity.exception.MethodInvocationException:org.apache.velocity.runtime.parser.node.ASTTrue:org.apache.velocity.runtime.parser.node.AbstractExecutor:org.apache.velocity.io.UnicodeInputStream:org.apache.velocity.runtime.visitor.NodeViewMode:org.apache.velocity.runtime.parser.node.ASTIndex:org.apache.velocity.util.introspection.ChainableUberspector:org.apache.velocity.servlet.VelocityServlet:org.apache.velocity.runtime.log.LogSystem:org.apache.velocity.app.event.InvalidReferenceEventHandler$InvalidMethodExecutor:org.apache.velocity.runtime.resource.loader.StringResourceLoader:org.apache.velocity.runtime.parser.node.ASTGTNode:org.apache.velocity.runtime.VelocimacroFactory:org.apache.velocity.runtime.log.AvalonLogChute:org.apache.velocity.runtime.log.AvalonLogSystem:org.apache.velocity.runtime.ParserPoolImpl:org.apache.velocity.app.event.implement.EscapeHtmlReference:org.apache.velocity.runtime.parser.node.ASTMathNode:org.apache.velocity.runtime.log.PrimordialLogSystem:org.apache.velocity.runtime.resource.loader.URLResourceLoader:org.apache.velocity.util.introspection.Info:org.apache.velocity.anakia.OutputWrapper:org.apache.velocity.runtime.directive.Literal:org.apache.velocity.runtime.parser.node.MathUtils:org.apache.velocity.util.EnumerationIterator:org.apache.velocity.runtime.resource.loader.ResourceLoader:org.apache.velocity.runtime.resource.loader.ResourceLoaderFactory:org.apache.velocity.runtime.resource.ResourceManagerImpl:org.apache.velocity.app.tools.VelocityFormatter$VelocityAlternator:org.apache.velocity.app.event.implement.EscapeReference:org.apache.velocity.runtime.directive.Parse:org.apache.velocity.runtime.parser.node.ASTMethod:org.apache.velocity.anakia.TreeWalker:org.apache.velocity.runtime.parser.ParserTokenManager:org.apache.velocity.texen.ant.TexenTask:org.apache.velocity.anakia.NodeList$AttributeXMLOutputter:org.apache.velocity.runtime.directive.ForeachScope:org.apache.velocity.runtime.parser.TemplateParseException:org.apache.velocity.runtime.directive.Scope:org.apache.velocity.util.introspection.SecureIntrospectorControl:org.apache.velocity.anakia.NodeList:org.apache.velocity.runtime.directive.Directive:org.apache.velocity.runtime.parser.node.ASTAssignment:org.apache.velocity.util.introspection.IntrospectionUtils:org.apache.velocity.app.tools.VelocityFormatter:org.apache.velocity.app.event.NullSetEventHandler:org.apache.velocity.runtime.parser.CharStream:org.apache.velocity.runtime.parser.node.ASTVariable:org.apache.velocity.app.event.implement.PrintExceptions:org.apache.velocity.runtime.resource.util.StringResource:org.apache.velocity.runtime.parser.node.ASTMethod$MethodCacheKey:org.apache.velocity.app.event.MethodExceptionEventHandler:org.apache.velocity.app.event.implement.IncludeRelativePath:org.apache.velocity.runtime.resource.Resource:org.apache.velocity.runtime.log.NullLogSystem:org.apache.velocity.runtime.parser.node.PropertyExecutor:org.apache.velocity.util.SimplePool:org.apache.velocity.runtime.parser.node.ASTMap:org.apache.velocity.app.event.InvalidReferenceEventHandler$InvalidGetMethodExecutor:org.apache.velocity.runtime.log.Log4JLogChute:org.apache.velocity.runtime.parser.node.ASTSubtractNode:org.apache.velocity.runtime.directive.RuntimeMacro:org.apache.velocity.runtime.resource.util.StringResourceRepository:org.apache.velocity.exception.MacroOverflowException:org.apache.velocity.runtime.RuntimeSingleton:org.apache.velocity.util.introspection.VelPropertyGet:org.apache.velocity.runtime.parser.node.SetPropertyExecutor:org.apache.velocity.app.event.implement.EscapeJavaScriptReference:org.apache.velocity.app.event.InvalidReferenceEventHandler:org.apache.velocity.io.VelocityWriter:org.apache.velocity.runtime.directive.Define:org.apache.velocity.runtime.log.LogDisplayWrapper:org.apache.velocity.context.AbstractContext:org.apache.velocity.runtime.resource.loader.JarHolder:org.apache.velocity.util.ExceptionUtils:org.apache.velocity.util.introspection.UberspectImpl$VelGetterImpl:org.apache.velocity.VelocityContext:org.apache.velocity.runtime.directive.Foreach:org.apache.velocity.runtime.parser.node.ASTModNode:org.apache.velocity.runtime.parser.node.ASTSetDirective:org.apache.velocity.app.event.EventHandlerMethodExecutor:org.apache.velocity.util.introspection.UberspectImpl$VelSetterImpl:org.apache.velocity.app.Velocity:org.apache.velocity.runtime.VelocimacroManager:org.apache.velocity.context.InternalContextBase:org.apache.velocity.runtime.parser.node.PutExecutor:org.apache.velocity.runtime.resource.ResourceFactory:org.apache.velocity.runtime.parser.node.ASTAddNode:org.apache.velocity.util.MapFactory:org.apache.velocity.util.introspection.MethodMap:org.apache.velocity.runtime.resource.loader.FileResourceLoader:org.apache.velocity.runtime.parser.node.MapGetExecutor:org.apache.velocity.context.ProxyVMContext:org.apache.velocity.util.ClassUtils:org.apache.velocity.runtime.log.LogManager:org.apache.velocity.runtime.parser.node.ASTNotNode:org.apache.velocity.runtime.parser.VelocityCharStream:org.apache.velocity.runtime.parser.Parser$JJCalls:org.apache.velocity.Template:org.apache.velocity.runtime.directive.Break:org.apache.velocity.runtime.parser.node.ASTEscape:org.apache.velocity.runtime.parser.node.GetExecutor:org.apache.velocity.runtime.parser.node.ASTReference:org.apache.velocity.util.introspection.IntrospectorCache:org.apache.velocity.util.introspection.IntrospectorCacheImpl:org.apache.velocity.runtime.directive.VelocimacroProxy:org.apache.velocity.util.ContextAware:org.apache.velocity.runtime.VelocimacroManager$1:org.apache.velocity.runtime.log.HoldingLogChute:org.apache.velocity.exception.ParseErrorException:org.apache.velocity.app.tools.VelocityFormatter$VelocityAutoAlternator:org.apache.velocity.runtime.directive.Scope$Info:org.apache.velocity.app.event.NullSetEventHandler$ShouldLogOnNullSetExecutor:org.apache.velocity.app.event.ReferenceInsertionEventHandler:org.apache.velocity.runtime.parser.ParserTokenManager$ParserState:org.apache.velocity.runtime.resource.loader.JarResourceLoader:org.apache.velocity.runtime.log.Log:org.apache.velocity.convert.WebMacro:org.apache.velocity.runtime.directive.Stop:org.apache.velocity.util.introspection.MethodMap$AmbiguousException:org.apache.velocity.exception.ResourceNotFoundException:org.apache.velocity.runtime.parser.node.MapSetExecutor:org.apache.velocity.util.introspection.SecureUberspector:org.apache.velocity.context.EvaluateContext:org.apache.velocity.runtime.parser.node.ASTFloatingPointLiteral:org.apache.velocity.runtime.log.JdkLogChute:org.apache.velocity.runtime.parser.Parser$1:org.apache.velocity.runtime.parser.node.ASTEQNode:org.apache.velocity.exception.ExtendedParseException:org.apache.velocity.app.event.EventHandlerUtil:org.apache.velocity.runtime.directive.Include:org.apache.velocity.runtime.parser.node.ASTprocess:org.apache.velocity.util.introspection.ClassMap$1:org.apache.velocity.runtime.VelocimacroFactory$1:org.apache.velocity.io.UnicodeInputStream$UnicodeBOM:org.apache.velocity.anakia.AnakiaTask$Context:org.apache.velocity.app.event.IncludeEventHandler$IncludeEventExecutor:org.apache.velocity.runtime.log.CommonsLogLogChute:org.apache.velocity.runtime.parser.node.SimpleNode:org.apache.velocity.anakia.AnakiaTask:org.apache.velocity.util.RuntimeServicesAware:org.apache.velocity.runtime.parser.node.ASTParameters:org.apache.velocity.anakia.XPathCache:org.apache.velocity.app.FieldMethodizer:org.apache.velocity.runtime.resource.ResourceManager:org.apache.velocity.app.event.implement.EscapeSqlReference:org.apache.velocity.runtime.directive.Block:org.apache.velocity.runtime.parser.node.ASTNENode:org.apache.velocity.util.introspection.ClassMap:org.apache.velocity.runtime.parser.node.ASTIfStatement:org.apache.velocity.app.event.EventCartridge:org.apache.velocity.runtime.directive.DirectiveConstants:org.apache.velocity.runtime.parser.node.ASTEscapedDirective:org.apache.velocity.runtime.Runtime:org.apache.velocity.runtime.RuntimeServices:org.apache.velocity.runtime.parser.node.ASTIntegerLiteral:org.apache.velocity.runtime.log.ServletLogChute:org.apache.velocity.anakia.XPathTool:org.apache.velocity.runtime.parser.node.SetExecutor:org.apache.velocity.util.StringUtils:org.apache.velocity.app.event.InvalidReferenceEventHandler$InvalidSetMethodExecutor:org.apache.velocity.util.introspection.UberspectImpl$VelMethodImpl:org.apache.velocity.runtime.parser.node.Node:org.apache.velocity.runtime.VelocimacroManager$MacroEntry:org.apache.velocity.app.event.IncludeEventHandler:org.apache.velocity.runtime.parser.node.ASTWord:org.apache.velocity.runtime.directive.BlockMacro:org.apache.velocity.runtime.directive.Macro:org.apache.velocity.runtime.parser.node.ASTTextblock:org.apache.velocity.app.event.MethodExceptionEventHandler$MethodExceptionExecutor:org.apache.velocity.anakia.AnakiaJDOMFactory:org.apache.velocity.util.introspection.SecureIntrospectorImpl:org.apache.velocity.app.event.implement.InvalidReferenceInfo:org.apache.velocity.runtime.parser.node.ASTComment:org.apache.velocity.runtime.resource.ResourceCache
javax.inject:javax.inject:1	2	1	0	5	0		javax.inject.Inject:javax.inject.Provider:javax.inject.Qualifier:javax.inject.Scope:javax.inject.Named:javax.inject.Singleton
antlr:antlr:2.7.7	2114	162	856	0	0		antlr.collections.AST:antlr.TokenStreamRewriteEngine$ReplaceOp:antlr.TokenStreamRewriteEngine$1:antlr.DefaultFileLineFormatter:antlr.TokenStreamRetryException:antlr.debug.InputBufferListener:antlr.PythonCodeGenerator:antlr.TokenManager:antlr.preprocessor.Option:antlr.CSharpNameSpace:antlr.GrammarElement:antlr.TokenStreamException:antlr.TokenStreamRewriteEngine$RewriteOperation:antlr.actions.csharp.ActionLexer:antlr.AlternativeElement:antlr.LLkGrammarAnalyzer:antlr.TreeParserSharedInputState:antlr.debug.ParserMatchAdapter:antlr.build.ANTLR$1:antlr.debug.ParseTreeDebugParser:antlr.BlockEndElement:antlr.ANTLRHashString:antlr.ParseTreeToken:antlr.CommonASTWithHiddenTokens:antlr.debug.misc.JTreeASTPanel:antlr.ZeroOrMoreBlock:antlr.RuleBlock:antlr.collections.impl.BitSet:antlr.JavaCharFormatter:antlr.Token:antlr.ASTFactory:antlr.actions.csharp.ActionLexerTokenTypes:antlr.TokenStreamRecognitionException:antlr.collections.impl.IndexedVector:antlr.MismatchedCharException:antlr.CSharpCodeGenerator:antlr.ASdebug.ASDebugStream:antlr.debug.SyntacticPredicateAdapter:antlr.ExceptionSpec:antlr.MismatchedTokenException:antlr.TreeElement:antlr.CharStreamException:antlr.debug.DebuggingCharScanner:antlr.OneOrMoreBlock:antlr.LexerGrammar:antlr.GrammarAnalyzer:antlr.debug.DebuggingParser:antlr.TokenStreamSelector:antlr.BaseAST:antlr.DocBookCodeGenerator:antlr.WildcardElement:antlr.ParserGrammar:antlr.debug.ParserEventSupport:antlr.preprocessor.PreprocessorLexer:antlr.ANTLRTokenTypes:antlr.collections.impl.ASTArray:antlr.collections.Stack:antlr.debug.ParserTokenListener:antlr.ANTLRParser:antlr.RecognitionException:antlr.LLkAnalyzer:antlr.preprocessor.Grammar:antlr.TreeWalkerGrammar:antlr.debug.InputBufferAdapter:antlr.debug.misc.ASTFrame:antlr.PythonCharFormatter:antlr.StringLiteralSymbol:antlr.CharQueue:antlr.CharLiteralElement:antlr.DiagnosticCodeGenerator:antlr.CharStreamIOException:antlr.debug.misc.ASTFrame$MyTreeSelectionListener:antlr.debug.ParserMatchListener:antlr.ANTLRTokdefParser:antlr.debug.misc.JTreeASTModel:antlr.ASTNULLType:antlr.BlockWithImpliedExitPath:antlr.CppCodeGenerator:antlr.actions.java.ActionLexer:antlr.actions.python.CodeLexer:antlr.Version:antlr.ASTVisitor:antlr.Tool:antlr.SemanticException:antlr.debug.InputBufferReporter:antlr.Lookahead:antlr.debug.LLkDebuggingParser:antlr.TokenStreamRewriteEngine:antlr.ActionElement:antlr.ActionTransInfo:antlr.CharRangeElement:antlr.ASTIterator:antlr.DefaultJavaCodeGeneratorPrintWriterManager:antlr.ASdebug.IASDebugStream:antlr.TokenWithIndex:antlr.CommonAST:antlr.TokenRefElement:antlr.actions.python.ActionLexerTokenTypes:antlr.debug.MessageEvent:antlr.debug.SyntacticPredicateListener:antlr.debug.ParserController:antlr.AlternativeBlock:antlr.JavaCodeGenerator:antlr.collections.impl.VectorEnumeration:antlr.debug.ParserMatchEvent:antlr.ANTLRTokdefLexer:antlr.debug.SemanticPredicateEvent:antlr.DefaultToolErrorHandler:antlr.ANTLRLexer:antlr.HTMLCodeGenerator:antlr.debug.SyntacticPredicateEvent:antlr.collections.impl.IntRange:antlr.debug.ParserAdapter:antlr.collections.ASTEnumeration:antlr.CharFormatter:antlr.TokenStreamHiddenTokenFilter:antlr.FileCopyException:antlr.build.StreamScarfer:antlr.NameSpace:antlr.collections.impl.LList:antlr.debug.NewLineListener:antlr.debug.NewLineEvent:antlr.PythonBlockFinishingInfo:antlr.RuleSymbol:antlr.CSharpCharFormatter:antlr.TokenSymbol:antlr.StringUtils:antlr.collections.impl.Vector:antlr.ExceptionHandler:antlr.actions.cpp.ActionLexer:antlr.ParseTree:antlr.ANTLRStringBuffer:antlr.Utils:antlr.ParseTreeRule:antlr.Grammar:antlr.RuleEndElement:antlr.PreservingFileWriter:antlr.Alternative:antlr.TokenQueue:antlr.debug.SemanticPredicateListener:antlr.collections.impl.LLCell:antlr.TokenStream:antlr.TreeSpecifierNode:antlr.preprocessor.Preprocessor:antlr.ASdebug.TokenOffsetInfo:antlr.FileLineFormatter:antlr.collections.List:antlr.ImportVocabTokenManager:antlr.GrammarSymbol:antlr.debug.TraceEvent:antlr.TokenStreamIOException:antlr.debug.InputBufferEventSupport:antlr.collections.Enumerator:antlr.StringLiteralElement:antlr.TokenStreamBasicFilter:antlr.ANTLRError:antlr.TokenStreamRewriteEngine$InsertBeforeOp:antlr.preprocessor.Tool:antlr.TokenRangeElement:antlr.TokenBuffer:antlr.ToolErrorHandler:antlr.ASTPair:antlr.debug.Event:antlr.debug.TraceAdapter:antlr.ByteBuffer:antlr.debug.InputBufferEvent:antlr.debug.misc.ASTFrame$1:antlr.debug.ParserTokenEvent:antlr.collections.impl.ASTEnumerator:antlr.debug.Tracer:antlr.TreeParser:antlr.debug.ParserListener:antlr.debug.ParserTokenAdapter:antlr.CharBuffer:antlr.debug.MessageAdapter:antlr.LexerSharedInputState:antlr.TokenStreamRewriteEngine$DeleteOp:antlr.NoViableAltForCharException:antlr.GrammarAtom:antlr.debug.DebuggingInputBuffer:antlr.ANTLRTokdefParserTokenTypes:antlr.actions.python.CodeLexerTokenTypes:antlr.build.Tool:antlr.RuleRefElement:antlr.preprocessor.PreprocessorTokenTypes:antlr.actions.cpp.ActionLexerTokenTypes:antlr.debug.ParserReporter:antlr.CommonToken:antlr.SimpleTokenManager:antlr.InputBuffer:antlr.SynPredBlock:antlr.CharScanner:antlr.CodeGenerator:antlr.preprocessor.Hierarchy:antlr.MakeGrammar:antlr.ANTLRException:antlr.BlockContext:antlr.DefineGrammarSymbols:antlr.CSharpBlockFinishingInfo:antlr.debug.ListenerBase:antlr.actions.python.ActionLexer:antlr.DumpASTVisitor:antlr.Parser:antlr.collections.impl.LLEnumeration:antlr.LLkParser:antlr.collections.impl.VectorEnumerator:antlr.debug.MessageListener:antlr.preprocessor.Rule:antlr.debug.TraceListener:antlr.CppBlockFinishingInfo:antlr.TreeBlockContext:antlr.CommonHiddenStreamToken:antlr.JavaBlockFinishingInfo:antlr.ANTLRGrammarParseBehavior:antlr.JavaCodeGeneratorPrintWriterManager:antlr.build.ANTLR:antlr.actions.java.ActionLexerTokenTypes:antlr.NoViableAltException:antlr.debug.SemanticPredicateAdapter:antlr.ParserSharedInputState:antlr.PrintWriterWithSMAP:antlr.CppCharFormatter:antlr.debug.GuessingEvent:antlr.preprocessor.GrammarFile
